model,n_est,max_depth,min_leaf,mean_acc,std_acc,lr
RF,100,4.0,2.0,0.8035076923076923,0.07581168822157912,
RF,100,4.0,5.0,0.803476923076923,0.07836483331566343,
RF,100,4.0,3.0,0.803476923076923,0.07400195743453014,
RF,400,6.0,5.0,0.8018923076923078,0.07670734518110849,
XGB,250,3.0,,0.8015846153846156,0.06767673072524119,0.08
RF,100,5.0,2.0,0.8015538461538462,0.075173800988307,
RF,100,3.0,2.0,0.8015230769230769,0.07364732688561378,
RF,200,5.0,5.0,0.8014769230769231,0.0776796394850835,
RF,400,6.0,2.0,0.8011538461538461,0.07171817790086497,
RF,100,3.0,3.0,0.8011076923076924,0.07381155599780137,
RF,200,3.0,1.0,0.8011076923076922,0.07356165710782829,
GBM,200,4.0,,0.8007692307692308,0.07157881409480694,0.1
RF,200,3.0,2.0,0.8007076923076923,0.0745388727463453,
RF,200,6.0,5.0,0.8006769230769231,0.07668557797801673,
RF,200,6.0,1.0,0.8004153846153845,0.07457710516897673,
RF,400,7.0,5.0,0.8003076923076924,0.07736947397364533,
RF,200,3.0,3.0,0.8002923076923077,0.07639098896641063,
RF,200,6.0,3.0,0.7999692307692307,0.07125750619653423,
RF,100,3.0,1.0,0.7999384615384615,0.07319518204469617,
RF,400,3.0,5.0,0.7998461538461538,0.07363832935568172,
RF,400,,5.0,0.799523076923077,0.07690759690393702,
RF,400,6.0,3.0,0.7991538461538461,0.07603156460686605,
GBM,200,2.0,,0.7991384615384615,0.06876675954947209,0.1
RF,400,6.0,1.0,0.7988307692307691,0.07746886986923565,
RF,400,8.0,5.0,0.7987230769230769,0.07752016114931252,
XGB,250,4.0,,0.7983230769230769,0.06941073872887088,0.15
RF,100,3.0,5.0,0.7983076923076924,0.07434049284030639,
RF,100,6.0,1.0,0.7983076923076924,0.07890298139723734,
RF,100,5.0,5.0,0.7982923076923077,0.07600993239363661,
XGB,150,3.0,,0.7979692307692307,0.06659135469946574,0.15
RF,100,6.0,5.0,0.7979076923076923,0.07816490533503832,
RF,200,3.0,5.0,0.7974923076923077,0.07645508562772783,
GBM,200,3.0,,0.7971846153846153,0.0711751086734299,0.1
RF,200,8.0,5.0,0.7966923076923078,0.07886633887967681,
RF,200,6.0,2.0,0.7964153846153846,0.07297306141520783,
RF,100,6.0,2.0,0.7963692307692305,0.07502852159848572,
RF,100,7.0,5.0,0.7963230769230769,0.08045282935658193,
RF,200,7.0,5.0,0.7959076923076922,0.07814179798108037,
RF,100,7.0,1.0,0.7956153846153846,0.07448168036543733,
RF,200,7.0,3.0,0.7956,0.07714399661035037,
RF,100,,5.0,0.7955384615384615,0.07999985207086915,
RF,100,8.0,2.0,0.7952307692307692,0.07866414263994813,
RF,100,8.0,5.0,0.7947384615384614,0.08074774219643843,
RF,200,,5.0,0.7947076923076923,0.08039203351859212,
RF,100,7.0,3.0,0.7943846153846154,0.07865206881572845,
RF,100,,1.0,0.793630769230769,0.07989964711728993,
RF,400,7.0,3.0,0.7935692307692307,0.07591193278043669,
RF,400,7.0,1.0,0.7932307692307693,0.07545679433060279,
RF,200,8.0,2.0,0.7928461538461538,0.07810609534586603,
RF,200,7.0,1.0,0.7928307692307692,0.08092109386280355,
XGB,250,3.0,,0.7928153846153846,0.06815264975508328,0.15
RF,400,8.0,2.0,0.7924307692307692,0.07440928872473321,
RF,100,7.0,2.0,0.7924,0.07594261926032274,
RF,100,6.0,3.0,0.7923692307692309,0.07596976041189955,
RF,400,8.0,1.0,0.7916153846153846,0.0777979099519994,
RF,400,7.0,2.0,0.791276923076923,0.07503941528392827,
RF,200,7.0,2.0,0.7912461538461538,0.07342369383630906,
RF,200,8.0,3.0,0.7911999999999999,0.08060513146776023,
RF,400,,1.0,0.7911846153846152,0.0785579663868677,
RF,400,8.0,3.0,0.7908307692307691,0.07776064625830265,
RF,200,,3.0,0.7908,0.07765832615567872,
RF,100,8.0,1.0,0.7900615384615383,0.08002615548762904,
RF,200,8.0,1.0,0.7900461538461537,0.07952773473270804,
RF,100,8.0,3.0,0.7899846153846154,0.07884596472772817,
RF,200,,1.0,0.7891999999999999,0.07900714670692285,
RF,400,,3.0,0.7891846153846153,0.07913031869819626,
RF,100,,2.0,0.7888615384615385,0.07670002121536779,
RF,200,,2.0,0.7872461538461537,0.0763325936417138,
RF,400,,2.0,0.7864461538461539,0.07658191885724715,
RF,100,,3.0,0.7864,0.07895882231455695,
