model,n_est,max_depth,min_leaf,mean_acc,std_acc,lr
RF,400,4.0,5.0,0.7547692307692309,0.0898087382577866,
RF,100,3.0,2.0,0.7208615384615387,0.09775402532609909,
RF,100,3.0,1.0,0.7204615384615387,0.09635548089353742,
RF,100,3.0,3.0,0.7160769230769232,0.09463461343066604,
RF,100,3.0,5.0,0.7140615384615384,0.09719133085259923,
RF,200,3.0,1.0,0.7100923076923077,0.1008300039876128,
RF,200,3.0,3.0,0.7077384615384615,0.10022163722493929,
RF,200,3.0,2.0,0.7077076923076921,0.10271244285460142,
RF,400,3.0,1.0,0.7032923076923078,0.09507518544590889,
RF,200,3.0,5.0,0.6989538461538461,0.10080031933827502,
RF,400,3.0,3.0,0.698523076923077,0.09717912942224927,
RF,400,3.0,2.0,0.697323076923077,0.09632652064660935,
RF,400,3.0,5.0,0.6913846153846156,0.09998082656426367,
