model,n_est,max_depth,min_leaf,mean_acc,std_acc,lr,C,gamma
RF,100.0,3.0,3.0,0.6063384615384614,0.10211266083575818,,,
RF,200.0,3.0,1.0,0.6040307692307693,0.09208274642596795,,,
RF,400.0,3.0,1.0,0.6004307692307692,0.08888689175928709,,,
RF,200.0,3.0,2.0,0.6000307692307691,0.09041835180534571,,,
RF,100.0,3.0,5.0,0.6000153846153844,0.09748299684845667,,,
RF,200.0,3.0,3.0,0.5992461538461538,0.09010880865070688,,,
RF,400.0,3.0,2.0,0.5984153846153846,0.08592785056638261,,,
RF,400.0,3.0,3.0,0.5960461538461539,0.08705198202203382,,,
RF,200.0,3.0,5.0,0.5916615384615383,0.08728276296073109,,,
RF,400.0,3.0,5.0,0.5880461538461538,0.08544262894034034,,,
ET,400.0,4.0,,0.5789538461538462,0.09860227441955921,,,
SVM,,,,0.5677692307692308,0.09464836823457368,,0.5,scale
SVM,,,,0.5677692307692308,0.09464836823457368,,0.5,auto
SVM,,,,0.5676307692307693,0.08907331466053896,,2.0,auto
SVM,,,,0.5676307692307693,0.08907331466053896,,2.0,scale
SVM,,,,0.5656615384615384,0.09331625428407136,,1.0,auto
SVM,,,,0.5656615384615384,0.09331625428407136,,1.0,scale
ET,200.0,4.0,,0.5637384615384614,0.09180175579401466,,,
SVM,,,,0.5624615384615385,0.08487624126550934,,5.0,scale
SVM,,,,0.5624615384615385,0.08487624126550934,,5.0,auto
