model,n_est,max_depth,min_leaf,mean_acc,std_acc,lr
RF,200,6.0,5.0,0.7425205128205128,0.11427590869047966,
GBM,200,3.0,,0.7421666666666666,0.09443805649975205,0.1
RF,100,3.0,3.0,0.7417153846153846,0.10043012980696604,
RF,400,8.0,5.0,0.7416435897435898,0.11166262670427539,
RF,100,6.0,5.0,0.7413282051282052,0.11649638393001967,
RF,400,5.0,5.0,0.7412897435897436,0.1113713762082847,
XGB,250,3.0,,0.7412871794871794,0.10790516192968556,0.15
RF,100,4.0,3.0,0.7411794871794872,0.11066606960224859,
RF,100,3.0,2.0,0.7411128205128206,0.101969595705726,
RF,100,7.0,3.0,0.7407128205128204,0.11468126128395104,
RF,400,,5.0,0.740425641025641,0.10960563291455837,
RF,100,4.0,1.0,0.7402897435897435,0.11495691617841794,
GBM,100,4.0,,0.7397076923076922,0.09659595468516505,0.1
RF,100,4.0,2.0,0.7395794871794871,0.10833086946067824,
RF,200,4.0,3.0,0.7394307692307691,0.11298954458737234,
RF,200,5.0,5.0,0.7372512820512821,0.10671082407001416,
RF,100,3.0,5.0,0.7368179487179486,0.09819588792974804,
GBM,200,2.0,,0.7367333333333334,0.09850599704074597,0.1
RF,100,4.0,5.0,0.7367128205128206,0.1130024982123642,
RF,400,7.0,5.0,0.7365794871794872,0.10783828153229992,
RF,100,7.0,5.0,0.7362615384615384,0.1143304361309971,
RF,400,4.0,3.0,0.7355179487179487,0.11492781932800172,
RF,400,6.0,5.0,0.7350461538461538,0.11137474799283184,
RF,400,4.0,2.0,0.7347820512820513,0.11308692975666242,
RF,400,4.0,5.0,0.7345179487179487,0.11120353947890517,
RF,200,4.0,5.0,0.7340461538461538,0.1081213406308059,
RF,200,3.0,1.0,0.7338076923076923,0.11287441675562455,
RF,400,4.0,1.0,0.7335205128205129,0.11309207762278838,
RF,200,3.0,2.0,0.7326794871794872,0.10860853907509435,
GBM,200,4.0,,0.7323307692307692,0.0983329612201698,0.1
RF,400,3.0,1.0,0.7286461538461539,0.11087592250197531,
RF,200,3.0,5.0,0.7277435897435898,0.10946300099328665,
RF,200,3.0,3.0,0.7272051282051283,0.10880197829059637,
