model,n_est,max_depth,min_leaf,mean_acc,std_acc,lr
XGB,150,6.0,,0.808076923076923,0.06424228362937574,0.08
XGB,150,4.0,,0.8076923076923076,0.05704768066996663,0.15
XGB,100,6.0,,0.8073076923076924,0.0647011793057151,0.15
XGB,250,4.0,,0.8073076923076923,0.05970712544079112,0.08
XGB,250,3.0,,0.8061538461538462,0.06726262227292054,0.08
XGB,250,4.0,,0.8061538461538462,0.0615192277634837,0.15
XGB,150,6.0,,0.8061538461538461,0.061278296205090566,0.15
GBM,200,3.0,,0.8061538461538461,0.06456958083517943,0.1
XGB,150,3.0,,0.8057692307692308,0.06490206550263924,0.15
XGB,250,3.0,,0.8057692307692307,0.06444460030813862,0.15
XGB,250,6.0,,0.8057692307692307,0.0623444810671051,0.08
XGB,150,5.0,,0.8053846153846154,0.06221265306337154,0.15
RF,400,5.0,2.0,0.8050000000000002,0.07282446269533271,
RF,400,4.0,1.0,0.8042307692307693,0.07217971489694007,
GBM,200,4.0,,0.8042307692307692,0.061801122143734996,0.1
XGB,250,5.0,,0.8034615384615386,0.06175323099613119,0.15
RF,400,5.0,1.0,0.803076923076923,0.07160046940443136,
RF,400,4.0,2.0,0.8026923076923079,0.0731082928620762,
XGB,250,6.0,,0.8026923076923077,0.06193502034844366,0.15
RF,400,4.0,3.0,0.8026923076923077,0.07310829286207618,
RF,200,5.0,1.0,0.8026923076923076,0.07431243017225658,
RF,200,4.0,1.0,0.8023076923076924,0.0753728405246704,
RF,200,5.0,2.0,0.8023076923076924,0.0753728405246704,
RF,400,4.0,5.0,0.801923076923077,0.07244157000706679,
RF,200,4.0,2.0,0.8015384615384614,0.07609554878163832,
RF,100,4.0,2.0,0.8007692307692307,0.07718800532259189,
RF,400,5.0,3.0,0.8003846153846155,0.0758960282267242,
RF,400,3.0,2.0,0.8003846153846155,0.07311638610571343,
RF,200,5.0,3.0,0.8003846153846155,0.07412108277165548,
RF,200,4.0,5.0,0.8,0.07195494974565271,
RF,400,6.0,1.0,0.8,0.07195494974565271,
RF,100,4.0,1.0,0.7996153846153846,0.07620724623484454,
RF,400,5.0,5.0,0.7996153846153845,0.07404120874024125,
RF,200,5.0,5.0,0.7992307692307693,0.07369776758318777,
RF,400,6.0,3.0,0.7988461538461539,0.075927207431871,
RF,200,4.0,3.0,0.7988461538461539,0.0763158727004776,
RF,400,3.0,1.0,0.7988461538461539,0.07573212679956769,
RF,100,4.0,3.0,0.7988461538461539,0.0789829956982353,
RF,100,4.0,5.0,0.7988461538461535,0.07650946493638595,
RF,400,3.0,3.0,0.7984615384615384,0.0725935429994094,
RF,100,5.0,2.0,0.7984615384615384,0.07846907957727134,
RF,400,6.0,2.0,0.7984615384615384,0.07656068482934607,
RF,200,3.0,1.0,0.7980769230769232,0.07504929346572253,
RF,200,6.0,1.0,0.798076923076923,0.0748519248308791,
RF,200,3.0,2.0,0.7976923076923077,0.07269536013127237,
RF,200,3.0,3.0,0.7976923076923077,0.07146398107939396,
RF,100,5.0,1.0,0.7976923076923077,0.07410611294846978,
RF,100,3.0,2.0,0.7973076923076923,0.0715126090590874,
RF,200,6.0,5.0,0.7973076923076922,0.07514384627590003,
RF,400,6.0,5.0,0.796923076923077,0.07616550027376347,
RF,100,5.0,5.0,0.7969230769230768,0.07732204229617884,
RF,100,3.0,1.0,0.7965384615384616,0.07384114566350802,
