model,n_est,max_depth,min_leaf,mean_acc,std_acc,lr
GBM,100,2.0,,0.7710754985754985,0.06613845387369527,0.05
RF,200,,1.0,0.7503868945868946,0.10062225839296178,
RF,100,,1.0,0.7477660968660969,0.0997298462718191,
RF,400,,1.0,0.7447176638176639,0.09905003264703406,
RF,400,,2.0,0.7390609686609686,0.11091042907193828,
RF,400,7.0,1.0,0.7358891737891737,0.10637374095876279,
RF,400,,3.0,0.7334324786324786,0.10736928030052932,
RF,200,8.0,2.0,0.7326532763532764,0.0983761255050358,
RF,200,,3.0,0.7326017094017095,0.10990438656656594,
RF,200,,2.0,0.7319509971509972,0.10620858171698824,
RF,400,8.0,1.0,0.7317917378917379,0.10730254545815687,
RF,100,,2.0,0.729519943019943,0.1077290149175621,
RF,400,7.0,2.0,0.7294532763532764,0.1081106685184722,
RF,200,8.0,1.0,0.7293301994301993,0.10722361221357969,
RF,100,7.0,1.0,0.7279199430199431,0.11222051716496469,
RF,400,7.0,3.0,0.7261606837606837,0.11372867336215056,
RF,400,8.0,2.0,0.7254866096866098,0.10831030717301855,
RF,200,7.0,1.0,0.7246558404558404,0.11118319352119023,
RF,400,,5.0,0.7239888888888889,0.11048694364912985,
RF,100,,3.0,0.7237683760683761,0.11496071284188557,
RF,400,6.0,1.0,0.7230299145299146,0.11538119471029593,
RF,200,7.0,2.0,0.7222814814814815,0.10633193589676453,
RF,200,7.0,3.0,0.7214814814814815,0.10787654494879641,
RF,200,,5.0,0.7209356125356127,0.10970238915765614,
RF,100,6.0,1.0,0.7205014245014246,0.12259358563456713,
RF,200,8.0,5.0,0.7200407407407409,0.11136844865651054,
RF,400,8.0,3.0,0.7190940170940172,0.111897820094342,
RF,200,8.0,3.0,0.7190581196581198,0.1157769224932791,
RF,200,7.0,5.0,0.7182814814814816,0.11449275274693667,
RF,200,6.0,1.0,0.7173584045584045,0.11313498261313457,
RF,100,8.0,2.0,0.7166225071225071,0.11318165328769655,
RF,400,6.0,2.0,0.7164632478632478,0.11683201193314134,
RF,400,8.0,5.0,0.7151555555555555,0.11624197261921995,
RF,100,7.0,2.0,0.7150840455840456,0.11708319871035389,
RF,100,8.0,1.0,0.7150532763532763,0.11152352844587494,
RF,200,6.0,2.0,0.7126814814814816,0.12001575663525108,
RF,400,5.0,1.0,0.7125962962962964,0.11975588899575824,
RF,200,6.0,3.0,0.7117581196581197,0.11719993463086174,
RF,100,8.0,3.0,0.7110866096866097,0.11401120461018634,
RF,100,7.0,3.0,0.7103122507122507,0.11178714509021327,
RF,100,6.0,3.0,0.7101988603988605,0.14420433123974596,
RF,400,6.0,3.0,0.7101299145299146,0.12266045336054113,
RF,200,5.0,1.0,0.7069962962962965,0.11392625451441338,
RF,100,,5.0,0.7055478632478633,0.11368648478599629,
RF,400,6.0,5.0,0.7047222222222222,0.11415330292539876,
RF,400,7.0,5.0,0.7046914529914531,0.11256041090001269,
RF,100,5.0,1.0,0.7046270655270654,0.13684736255072286,
RF,200,5.0,3.0,0.7038863247863247,0.11336941143983902,
RF,100,8.0,5.0,0.7031712250712251,0.11819508735737115,
RF,400,5.0,3.0,0.702988888888889,0.11800795874174527,
RF,400,5.0,2.0,0.7021581196581198,0.12102511053350826,
RF,100,7.0,5.0,0.7015452991452993,0.11459656287582423,
RF,200,5.0,2.0,0.7014245014245014,0.11585844436224546,
RF,100,6.0,2.0,0.701265527065527,0.12606336109136113,
RF,200,6.0,5.0,0.6982837606837607,0.10997182757729848,
RF,100,5.0,3.0,0.6967193732193734,0.12382925667943899,
RF,100,5.0,2.0,0.694288603988604,0.12252323449372222,
RF,100,6.0,5.0,0.6926860398860399,0.12153017791595856,
RF,400,5.0,5.0,0.6903811965811967,0.12243699879876352,
