model,n_est,max_depth,min_leaf,mean_acc,std_acc,lr
RF,200,5.0,3.0,0.49477559681697614,0.12471412133442467,
RF,100,5.0,3.0,0.49465543766578257,0.1283985513423771,
RF,200,4.0,1.0,0.4942937223695845,0.1336594810501373,
RF,200,,5.0,0.49315552608311236,0.1224768352327814,
RF,200,7.0,5.0,0.49272705570291775,0.11982755392913555,
RF,100,6.0,5.0,0.4923706454465075,0.11794612979316534,
RF,200,5.0,2.0,0.4916063660477454,0.12460076998027493,
RF,200,6.0,3.0,0.49028877099911583,0.11609493901710109,
RF,200,8.0,5.0,0.4897144120247569,0.11613528439453738,
RF,400,,5.0,0.4880759504862953,0.1174772678625385,
RF,100,7.0,5.0,0.4880606542882404,0.11430628407731001,
RF,400,4.0,1.0,0.4877066312997348,0.13504944711876363,
RF,200,6.0,5.0,0.48686551724137933,0.12326890273740909,
RF,200,5.0,5.0,0.4850603890362511,0.12315371538995623,
RF,400,5.0,5.0,0.4844810786914235,0.12680737512285944,
RF,100,,5.0,0.4840684350132626,0.11459300057479255,
RF,400,4.0,2.0,0.4814118479221927,0.13619347157894224,
RF,100,4.0,2.0,0.4812554376657825,0.132973524610104,
RF,100,5.0,5.0,0.4799551724137931,0.11900502987139744,
RF,100,8.0,5.0,0.4792068965517241,0.12141026305531936,
RF,200,4.0,2.0,0.47799893899204243,0.13683595902008772,
RF,400,4.0,3.0,0.4685118479221927,0.1323930186997546,
RF,100,4.0,3.0,0.4682836427939876,0.13022498360395232,
RF,200,4.0,3.0,0.4660118479221928,0.1261889823518833,
RF,400,4.0,5.0,0.4614170645446507,0.12421816594632551,
RF,100,4.0,5.0,0.46028629531388154,0.1199324419298745,
RF,200,4.0,5.0,0.4594426171529619,0.12282344536205396,
RF,100,3.0,1.0,0.44040212201591517,0.12722845041591707,
RF,100,3.0,2.0,0.439779133510168,0.1277977528497985,
RF,400,3.0,1.0,0.4381742705570291,0.13797803543412046,
RF,400,3.0,2.0,0.4372639257294429,0.1348811321560465,
RF,100,3.0,3.0,0.43723289124668435,0.12569967904460286,
RF,400,3.0,3.0,0.4366328912466843,0.1266831882760683,
RF,100,3.0,5.0,0.43545844385499555,0.12443062664399039,
RF,400,3.0,5.0,0.43115101679929263,0.12654261926785926,
RF,200,3.0,1.0,0.4281510167992927,0.13333290616660037,
RF,200,3.0,2.0,0.42727144120247573,0.13291781599196037,
RF,200,3.0,3.0,0.42391768346595937,0.12603379579633683,
RF,200,3.0,5.0,0.4222409372236958,0.1273607029186864,
