Locality_ID,Geosite_Name,Latitude_WGS84,Longitude_WGS84,Geology_Class,Soil_Class,Elevation_m,Slope_deg,Ruggedness,presence
bg_00615,background,21.66672241615289,-13.193901580210975,45,7,246.09957885742188,1.6098159036165944,1.060269775390625,0
bg_00617,background,33.13737157338178,-3.7806688065653873,14,3,885.6903076171875,1.0304797145766993,0.374013671875,0
bg_00618,background,27.128700708522274,-10.310159074681003,8,7,347.1416320800781,1.0863818842172641,0.686522216796875,0
bg_00619,background,31.324166533090782,-3.900463611946413,28,3,800.1979370117188,0.969213218125773,0.3927294921875,0
bg_00621,background,23.946320482048527,-14.324673503382522,23,7,250.4571990966797,0.7205920756918587,0.37318603515625,0
bg_00622,background,34.62969280771077,-4.746569973908516,13,9,443.3576354980469,13.211415603665404,6.76317626953125,0
bg_00623,background,30.33214430716296,-6.880023356867128,56,3,1208.8892822265625,17.090751136120293,9.7761865234375,0
bg_00624,background,29.872907962593207,-6.93372040591456,14,7,540.4047241210938,2.2397475306711394,1.2484765625,0
bg_00625,background,22.062959346722817,-16.153676477130247,39,6,111.34859466552734,1.1722968189652514,0.692225341796875,0
bg_00626,background,29.874606586257766,-7.52101961768478,8,3,667.2454223632812,0.772699447364048,0.3500048828125,0
bg_00627,background,23.24877147220017,-14.179943378589018,8,7,273.7965393066406,1.6876345334730396,0.9287353515625,0
bg_00628,background,24.44315063089344,-13.491165601309591,23,7,320.37335205078125,2.918753360462353,1.464951171875,0
bg_00629,background,33.157174478229116,-7.77808859876818,17,5,235.80238342285156,0.49508051865094466,0.1906182861328125,0
bg_00631,background,34.84023405156641,-4.330919519472223,69,7,1962.52685546875,5.476237010907462,2.766298828125,0
bg_00632,background,26.623580079589164,-10.437410732836963,60,7,386.9029541015625,6.3981054765405245,3.883968505859375,0
bg_00633,background,31.607900282811826,-6.25266935128006,71,9,2407.109130859375,16.95721063264145,10.015234375,0
bg_00634,background,30.718101183904817,-6.713481545230715,56,9,1522.247314453125,4.473735221582485,2.631279296875,0
bg_00635,background,26.570571356333566,-10.43456297275019,60,7,390.8359680175781,2.484084222029881,1.533009033203125,0
