Locality_ID,Expert_Class,Region,Latitude_WGS84,Longitude_WGS84,Dist_to_Highway_m,Slope_deg,Ruggedness,Elevation_m,LULC_Friction,Dist_to_Settlement_m,Expert_Merged,origin,proba,pred,correct,y
loc_01383,Moderate,Béni Mellal-Khénifra,31.717716666666664,-6.815847222222222,801.9010391224825,13.967121417422376,9.5002978515625,1415.8729248046875,0.35,81240.72972543546,Moderate,batch3_2026,0.3570092494820634,0,True,0
loc_01384,Moderate,Béni Mellal-Khénifra,31.72513611111111,-6.970002777777778,147.1937410777931,20.33061126411041,13.3054541015625,1078.0008544921875,0.55,89251.38402832861,Moderate,batch3_2026,0.40083553347943895,0,True,0
loc_01385,Difficult,Béni Mellal-Khénifra,31.53498611111112,-6.933286111111111,1622.1752699389006,28.171211179918767,18.8198681640625,1965.7081298828125,0.55,68394.93660974874,Difficult,batch3_2026,0.15427091024644263,0,True,0
loc_01386,Moderate,Béni Mellal-Khénifra,31.52438611111111,-6.942316666666667,297.0603184714654,23.48660276275234,14.78642578125,2088.53759765625,0.55,67249.49715446928,Moderate,batch3_2026,0.2078204796497086,0,True,0
loc_01387,Difficult,Béni Mellal-Khénifra,31.50797777777778,-6.934944444444445,247.4148689611341,26.96252396811431,17.60416015625,1890.79931640625,0.15,65398.5939078602,Difficult,batch3_2026,0.4013162588176996,0,True,0
loc_01388,Moderate,Béni Mellal-Khénifra,31.50014722222222,-6.926411111111111,609.7612629326991,25.00167214198068,14.0560302734375,1880.120849609375,0.15,64504.7862897386,Moderate,batch3_2026,0.274352985520562,0,True,0
loc_01389,Moderate,Béni Mellal-Khénifra,31.54648333333333,-6.971002777777778,284.846867559652,24.78450853242151,16.593994140625,2088.968994140625,0.15,69874.18819825847,Moderate,batch3_2026,0.25506683166123406,0,True,0
loc_01390,Easy,Béni Mellal-Khénifra,31.492847222222224,-6.917519444444444,1678.5414448934628,19.10253094327579,11.9180712890625,1770.1614990234375,0.1,63679.33457455941,Easy,batch3_2026,0.17412304158777844,0,False,1
loc_01391,Moderate,Béni Mellal-Khénifra,31.56103888888889,-6.472736111111111,8454.591741063829,41.21720388112693,30.5158984375,2709.082275390625,0.15,82542.4150081905,Moderate,batch3_2026,0.06008127671855665,0,True,0
loc_01392,Moderate,Béni Mellal-Khénifra,31.589966666666665,-6.475405555555556,5318.380415635539,37.305259581900565,24.711220703125,2266.317626953125,0.15,83551.58309502373,Moderate,batch3_2026,0.0650048635367752,0,True,0
loc_01393,Moderate,Béni Mellal-Khénifra,31.657102777777776,-6.41965,152.42524156577292,0.9836412472780872,0.4610986328125,1846.734619140625,0.2,75548.2698445027,Moderate,batch3_2026,0.29809323767694407,0,True,0
loc_01394,Moderate,Béni Mellal-Khénifra,31.52125277777777,-6.703430555555555,10866.991824641109,25.607412199085115,15.874248046875,2607.91552734375,0.1,69686.32839956801,Moderate,batch3_2026,0.10025740636359301,0,True,0
loc_01395,Moderate,Béni Mellal-Khénifra,31.625316666666667,-6.626622222222223,636.6392797372018,28.76941953184744,17.4514892578125,1958.1990966796875,0.1,82930.9088453332,Moderate,batch3_2026,0.6362183989955218,1,False,0
loc_01396,Easy,Béni Mellal-Khénifra,31.63325555555556,-6.585486111111111,1682.3078579415794,36.15665303561072,26.1611328125,2639.015869140625,0.15,80957.68694725246,Easy,batch3_2026,0.06704039378748637,0,False,1
loc_01397,Easy,Béni Mellal-Khénifra,31.52679722222222,-6.744063888888889,14046.282495876792,30.45457858052079,18.664599609375,3463.329833984375,0.1,69292.25637033455,Easy,batch3_2026,0.05026854298062463,0,False,1
loc_01398,Moderate,Béni Mellal-Khénifra,31.54343611111112,-6.734586111111112,12013.767814324285,8.19077052150598,5.17888671875,3145.09326171875,0.15,71300.71257559372,Moderate,batch3_2026,0.12091391507633,0,True,0
loc_01399,Moderate,Béni Mellal-Khénifra,31.56066111111112,-6.7567,11873.790335557893,31.063157237443804,20.197392578125,2928.07080078125,0.1,72710.44611328047,Moderate,batch3_2026,0.12335046198182611,0,True,0
loc_01400,Moderate,Béni Mellal-Khénifra,31.60168888888889,-6.6045638888888885,142.3630024264201,4.931367050553142,2.529375,1662.36474609375,0.2,81181.1207865794,Moderate,batch3_2026,0.4427959011744886,0,True,0
loc_01401,Difficult,Béni Mellal-Khénifra,31.60590277777778,-6.575658333333333,1153.2741499863034,32.67407909462686,23.6050048828125,1911.6400146484373,0.55,82638.48712048696,Difficult,batch3_2026,0.1726658461076525,0,True,0
loc_01402,Difficult,Béni Mellal-Khénifra,31.575369444444444,-6.6589,5562.8299127724695,21.985582319725264,12.856630859375,2249.57080078125,0.15,76690.5842818122,Difficult,batch3_2026,0.050186206351163255,0,True,0
loc_01403,Difficult,Béni Mellal-Khénifra,31.562691666666662,-6.61011111111111,4463.263375346482,18.809144407388743,13.2055419921875,1836.5440673828125,0.55,76953.81669500192,Difficult,batch3_2026,0.07857542020651646,0,True,0
loc_01404,Difficult,Béni Mellal-Khénifra,31.551094444444445,-6.5847,6028.295684231319,24.97416640299897,17.6076708984375,2015.42578125,0.1,76703.48810100944,Difficult,batch3_2026,0.09165932714049804,0,True,0
loc_01405,Difficult,Béni Mellal-Khénifra,31.53590555555556,-6.646369444444444,8347.11660965349,30.09658420830949,21.7198828125,2071.590087890625,0.15,72938.91605775681,Difficult,batch3_2026,0.08079049617097926,0,True,0
loc_01406,Difficult,Béni Mellal-Khénifra,31.538647222222224,-6.587663888888889,7302.721516180537,28.62481324797067,18.2784765625,2446.093017578125,0.15,75325.11019913839,Difficult,batch3_2026,0.06140891704847813,0,True,0
loc_01407,Difficult,Béni Mellal-Khénifra,31.5248,-6.5918777777777775,8745.315775533152,31.805717975349044,19.15154296875,2666.284423828125,0.15,73757.28375192371,Difficult,batch3_2026,0.03854997392818024,0,True,0
loc_01408,Difficult,Béni Mellal-Khénifra,31.53021111111111,-6.552005555555556,9330.396815205782,46.63769927253707,38.70947265625,3165.4072265625,0.1,75932.54609421868,Difficult,batch3_2026,0.04352793345933782,0,True,0
loc_01409,Moderate,Souss-Massa,30.681166666666662,-9.100333333333332,93.46941202445358,20.518457454471253,12.3794140625,1513.465576171875,0.1,31643.46202046065,Moderate,batch3_2026,0.30089426620079646,0,True,0
loc_01410,Moderate,Tanger-Tétouan-Al Hoceima,35.872908333333335,-5.421022222222223,1004.1410860200416,14.9467323428684,8.416788940429688,231.9960174560547,0.55,6549.055016197881,Moderate,batch3_2026,0.48960141574444305,0,True,0
loc_01411,Moderate,Tanger-Tétouan-Al Hoceima,35.885980555555555,-5.409766666666667,531.8048422736433,23.66542371970198,15.26033935546875,722.4088745117188,0.15,6784.230783209305,Moderate,batch3_2026,0.4773659678954704,0,True,0
loc_01412,Moderate,Tanger-Tétouan-Al Hoceima,35.88771944444444,-5.390516666666668,583.1054882120271,19.8657861268417,10.446024780273438,244.32470703125,0.55,5997.450344916444,Moderate,batch3_2026,0.4318170754992085,0,True,0
loc_01413,Moderate,Tanger-Tétouan-Al Hoceima,35.920677777777776,-5.401880555555556,1422.3717837842066,26.75245128695407,15.29458408355713,52.60436630249024,0.15,9764.700591034763,Moderate,batch3_2026,0.6012360385149238,1,False,0
loc_01414,Moderate,Tanger-Tétouan-Al Hoceima,35.91231388888889,-5.405483333333334,742.4736005414547,27.16724359970334,15.061160888671877,189.5524444580078,0.55,9046.411419894408,Moderate,batch3_2026,0.45351223378771854,0,True,0
loc_01415,Moderate,Fés-Meknés,33.65582777777777,-4.187444444444445,1323.994570747339,32.66302447772462,18.6172705078125,1796.5347900390625,0.55,59839.6761105878,Moderate,batch3_2026,0.06488805664545698,0,True,0
loc_01416,Moderate,Fés-Meknés,33.66074166666667,-4.111491666666666,1574.734775678971,18.75422979493153,10.17669921875,2871.007080078125,0.1,64002.85542782829,Moderate,batch3_2026,0.2482583580474665,0,True,0
loc_01417,Moderate,Fés-Meknés,33.64151944444444,-4.282616666666667,4458.988270982645,35.55154420737037,22.9385693359375,2040.5517578125,0.55,51682.971959444,Moderate,batch3_2026,0.043399490097598886,0,True,0
loc_01418,Moderate,Fés-Meknés,33.630291666666665,-4.278788888888889,4485.645006037498,38.922278749722025,24.8198583984375,2077.33251953125,0.55,51238.16059090642,Moderate,batch3_2026,0.03599599906749774,0,True,0
loc_01419,Moderate,Fés-Meknés,33.68071111111111,-4.23295,758.4050209427218,16.55895496136522,8.80064453125,1385.065673828125,0.15,57775.99964720579,Moderate,batch3_2026,0.2341485384033219,0,True,0
loc_01420,Difficult,Fés-Meknés,33.707350000000005,-4.299841666666667,3183.86733878158,11.5747391761577,7.5367138671875,1485.1795654296875,0.15,51017.75180142202,Difficult,batch3_2026,0.16774587801238652,0,True,0
loc_01421,Moderate,Fés-Meknés,33.656188888888884,-4.282172222222222,4041.088789539416,31.07971629408372,19.202265625,1832.61474609375,0.35,52703.51762234463,Moderate,batch3_2026,0.06798330357381846,0,True,0
loc_01422,Moderate,Fés-Meknés,33.925266666666666,-4.095975,1211.191933789803,28.71102520557368,19.5912060546875,1289.585693359375,0.55,34812.296655923245,Moderate,batch3_2026,0.16109690220902548,0,True,0
loc_01423,Easy,Fés-Meknés,33.80676944444444,-4.375911111111111,66.57026314961215,5.025703360503391,2.5867822265625,852.2758178710938,0.2,42306.82964030375,Easy,batch3_2026,0.764417176179373,1,True,1
loc_01424,Moderate,Fés-Meknés,33.652052777777776,-4.174741666666667,424.6044802983252,8.224221857085093,5.4930908203125,1822.5240478515625,0.15,60610.18009714215,Moderate,batch3_2026,0.31749573145094817,0,True,0
loc_01425,Moderate,Fés-Meknés,33.606430555555555,-4.202916666666667,160.97796180919156,21.62791715625068,13.8504052734375,1754.505859375,0.15,55798.33284138572,Moderate,batch3_2026,0.19432485370317984,0,True,0
loc_01426,Difficult,Fés-Meknés,33.93060555555555,-4.146019444444445,3138.098382126957,24.49356763765422,16.56294921875,1148.99951171875,0.55,35582.77896828884,Difficult,batch3_2026,0.23658436349924528,0,True,0
loc_01427,Difficult,Fés-Meknés,33.85335277777778,-4.029011111111111,732.8636111253246,26.239397874476147,15.1879345703125,1316.6451416015625,0.35,41934.69655626987,Difficult,batch3_2026,0.31597272199998194,0,True,0
loc_01428,Difficult,Fés-Meknés,33.92628333333333,-4.034172222222222,926.691058571082,5.164329547141891,2.7801416015625,1173.01611328125,0.2,33861.62023208356,Difficult,batch3_2026,0.7181527370576817,1,False,0
loc_01429,Difficult,Fés-Meknés,33.86557777777778,-4.034458333333333,63.03164096692652,25.58636673319232,14.9534765625,1639.9288330078125,0.55,40601.18733395874,Difficult,batch3_2026,0.33149985205184984,0,True,0
loc_01430,Difficult,Fés-Meknés,33.815875,-4.133719444444445,6100.994247524856,10.543525107027545,5.0405810546875,1965.5830078125,0.15,47453.61833476542,Difficult,batch3_2026,0.08552702439803225,0,True,0
loc_01431,Difficult,Fés-Meknés,33.80313888888889,-4.161325000000001,4574.085546110811,11.795107363335802,5.9466552734375,1940.86962890625,0.1,49485.30686288429,Difficult,batch3_2026,0.12356572680999739,0,True,0
loc_01432,Difficult,Fés-Meknés,33.75717222222222,-4.067008333333333,263.7152576007649,29.67274101711188,18.075947265625,1926.56982421875,0.15,52854.27982871978,Difficult,batch3_2026,0.5375173227798061,1,False,0
loc_01433,Moderate,Fés-Meknés,33.705286111111114,-4.124786111111111,1860.8354840459244,16.515046305806976,9.908291015625,2370.78662109375,0.1,59313.24089534326,Moderate,batch3_2026,0.21134833826580784,0,True,0
loc_01434,Moderate,Fés-Meknés,33.690061111111106,-4.160183333333333,2178.1272163755743,14.823675672723835,8.966953125,2035.03173828125,0.15,61630.11862667462,Moderate,batch3_2026,0.2114720674864052,0,True,0
loc_01435,Difficult,Fés-Meknés,33.58704166666667,-4.211975,1368.9314302525313,15.394249982344292,8.817216796875,2011.3194580078125,0.55,54045.62931732867,Difficult,batch3_2026,0.3017561048012798,0,True,0
loc_01436,Moderate,Fés-Meknés,33.572188888888896,-4.261980555555556,1031.789542836353,32.066526146014574,19.3273388671875,1919.174560546875,0.55,49174.98582482513,Moderate,batch3_2026,0.24094874204682257,0,True,0
