Locality_ID,Region,origin,y_difficult,knn_pred_difficult,gp_pred_difficult,y_easy,knn_pred_easy,gp_pred_easy
loc_00714,Souss-Massa,batch3_2026,0,0,0,0,0,1
loc_00715,Souss-Massa,batch3_2026,0,0,0,1,0,1
loc_00716,Souss-Massa,batch3_2026,0,0,0,1,1,1
loc_00718,Marrakech-Safi,batch3_2026,0,0,0,0,1,1
loc_00719,Marrakech-Safi,batch3_2026,0,0,0,0,1,1
loc_00720,Marrakech-Safi,batch3_2026,0,0,0,0,1,1
loc_00721,Marrakech-Safi,batch3_2026,0,0,0,1,1,1
loc_00722,Marrakech-Safi,batch3_2026,0,0,0,1,0,1
loc_00723,Marrakech-Safi,batch3_2026,0,0,0,1,0,1
loc_00724,Marrakech-Safi,batch3_2026,0,0,0,1,1,1
loc_00725,Marrakech-Safi,batch3_2026,0,0,0,1,0,0
loc_00768,Drâa-Tafilalet,batch3_2026,0,0,0,1,0,0
loc_00769,Drâa-Tafilalet,batch3_2026,0,0,0,1,0,0
loc_00770,Drâa-Tafilalet,batch3_2026,0,0,0,1,0,1
loc_00771,Drâa-Tafilalet,batch3_2026,0,0,0,1,0,1
loc_00772,Drâa-Tafilalet,batch3_2026,0,0,0,1,0,0
loc_00773,Drâa-Tafilalet,batch3_2026,0,0,0,1,0,0
loc_00774,Drâa-Tafilalet,batch3_2026,0,0,0,1,0,0
loc_00777,Drâa-Tafilalet,batch3_2026,1,0,0,0,0,0
loc_00778,Drâa-Tafilalet,batch3_2026,0,0,0,1,0,0
loc_00779,Drâa-Tafilalet,batch3_2026,0,0,0,1,0,0
loc_00780,Béni Mellal-Khénifra,batch3_2026,0,0,0,0,0,0
loc_00814,Fés-Meknés,batch3_2026,0,0,0,1,0,0
loc_00815,Fés-Meknés,batch3_2026,0,0,0,0,0,0
loc_00816,Fés-Meknés,batch3_2026,0,0,0,0,0,0
loc_00817,Fés-Meknés,batch3_2026,0,0,0,0,1,1
loc_00818,Fés-Meknés,batch3_2026,0,1,0,1,0,0
loc_00819,Fés-Meknés,batch3_2026,0,0,0,0,1,1
loc_00843,Fés-Meknés,batch3_2026,1,0,0,0,0,0
loc_00844,Fés-Meknés,batch3_2026,1,0,1,0,0,0
loc_00845,Fés-Meknés,batch3_2026,1,0,0,0,0,0
loc_00846,Fés-Meknés,batch3_2026,1,0,1,0,0,0
loc_00847,Fés-Meknés,batch3_2026,1,0,0,0,0,0
loc_00848,Fés-Meknés,batch3_2026,1,1,0,0,0,0
loc_00849,Fés-Meknés,batch3_2026,1,0,0,0,0,0
loc_00850,Fés-Meknés,batch3_2026,1,1,0,0,0,0
loc_00851,Fés-Meknés,batch3_2026,0,0,0,1,0,1
loc_00852,Fés-Meknés,batch3_2026,0,0,0,1,1,1
loc_00853,Fés-Meknés,batch3_2026,0,0,1,0,0,0
loc_00854,Fés-Meknés,batch3_2026,0,0,0,0,0,0
loc_00855,Fés-Meknés,batch3_2026,0,0,0,0,0,0
loc_00856,Fés-Meknés,batch3_2026,0,0,0,1,1,1
loc_00857,Fés-Meknés,batch3_2026,0,0,0,1,1,1
loc_00858,Fés-Meknés,batch3_2026,0,0,0,1,0,1
loc_00859,Fés-Meknés,batch3_2026,0,0,0,1,1,1
loc_00860,Fés-Meknés,batch3_2026,1,0,1,0,0,0
loc_00861,Fés-Meknés,batch3_2026,0,0,0,1,0,0
loc_00862,Fés-Meknés,batch3_2026,0,0,0,0,1,1
loc_00863,Fés-Meknés,batch3_2026,0,0,0,0,1,0
loc_00864,Fés-Meknés,batch3_2026,0,0,0,1,0,0
loc_00865,Fés-Meknés,batch3_2026,1,0,1,0,0,0
loc_00866,Fés-Meknés,batch3_2026,1,1,1,0,0,0
loc_01148,Fés-Meknés,batch3_2026,0,0,0,0,1,1
loc_01149,Fés-Meknés,batch3_2026,0,0,0,0,0,0
