Locality_ID,Expert_Class,Region,Latitude_WGS84,Longitude_WGS84,Dist_to_Highway_m,Slope_deg,Ruggedness,Elevation_m,LULC_Friction,Dist_to_Settlement_m,Expert_Merged,origin,proba,pred,correct,y,region_threshold,pred_regiontuned
loc_00893,Moderate,Fés-Meknés,33.415524999999995,-4.3809,3331.5527079878207,5.49259235496644,2.9363720703125,1420.2939453125,0.15,32878.68825752474,Moderate,original_733,0.20263594033214,0,True,0,0.34,0
loc_00894,Difficult,Fés-Meknés,33.29682222222222,-4.703822222222223,1332.2499921152105,25.45577731977279,16.3686865234375,1948.89111328125,0.15,7822.020589436082,Difficult,original_733,0.6262032001193709,1,True,1,0.34,1
loc_00895,Moderate,Fés-Meknés,33.423427777777775,-4.452688888888889,734.2009344845422,6.63328598727975,2.944931640625,1704.907958984375,0.1,26546.89040193417,Moderate,original_733,0.2512950310582609,0,True,0,0.34,0
loc_00896,Moderate,Fés-Meknés,33.51165833333334,-4.435205555555556,1941.3338591712327,15.978103614405448,8.5904443359375,1353.6209716796875,0.15,31881.28114419837,Moderate,original_733,0.4278664850563013,0,True,0,0.34,1
loc_00897,Easy,Fés-Meknés,33.249405555555555,-4.829572222222222,91.99447791511678,4.490926002698108,2.56935546875,2106.531005859375,0.2,15752.60354179868,Easy,original_733,0.2670466213707731,0,True,0,0.34,0
loc_00898,Moderate,Fés-Meknés,33.44374444444444,-4.391513888888889,3954.8718095718086,8.313119114607954,5.2873583984375,1263.5926513671875,0.1,32616.01741913262,Moderate,original_733,0.1847736354462691,0,True,0,0.34,0
loc_00899,Moderate,Fés-Meknés,33.446866666666665,-4.422569444444445,2340.3851230753858,10.76189316527296,6.554970703125,1397.8507080078125,0.35,29957.454123005533,Moderate,original_733,0.1272584511045089,0,True,0,0.34,0
loc_00900,Moderate,Fés-Meknés,33.445027777777774,-4.315963888888889,1291.4423413102238,7.941758038100051,4.5085400390625,1402.7025146484375,0.15,39442.0862464168,Moderate,original_733,0.1609449203134433,0,True,0,0.34,0
loc_00901,Moderate,Fés-Meknés,33.42992777777778,-4.3973,4430.562997263129,2.8331724469516524,1.4449951171875,1433.694091796875,0.15,31710.86653549713,Moderate,original_733,0.3060253365439018,0,True,0,0.34,0
loc_00902,Moderate,Fés-Meknés,33.44323055555555,-4.317419444444444,1229.5862584314975,5.969293713648748,3.3247509765625,1393.6973876953125,0.15,39265.524765162765,Moderate,original_733,0.2432611973385047,0,True,0,0.34,0
loc_00903,Moderate,Fés-Meknés,33.46462777777778,-3.971455555555556,112.78200557019234,19.987077767442912,12.2302587890625,1450.4691162109375,0.15,71252.8436394736,Moderate,original_733,0.4091783238027533,0,True,0,0.34,1
loc_00904,Easy,Fés-Meknés,33.147,-4.980333333333333,11.465825537176714,2.38816776273968,1.37921875,1988.9359130859373,0.15,33538.00741607864,Easy,original_733,0.0592457932672875,0,True,0,0.34,0
loc_00905,Moderate,Fés-Meknés,33.45751944444445,-4.459761111111112,242.4533152955196,11.54586577627835,6.15259765625,1525.3016357421875,0.15,27125.81507179261,Moderate,original_733,0.2290265910637818,0,True,0,0.34,0
loc_00906,Moderate,Fés-Meknés,33.456136111111114,-4.453475,314.37591553376217,18.08514379698684,10.4404150390625,1556.216796875,0.15,27608.02903451425,Moderate,original_733,0.4606466580772403,0,True,0,0.34,1
loc_00907,Moderate,Fés-Meknés,33.45088333333334,-4.423069444444445,2378.7408538917134,18.765491744204017,13.5944482421875,1532.8671875,0.35,30053.603317265584,Moderate,original_733,0.5165611269075256,1,False,0,0.34,1
loc_00908,Moderate,Fés-Meknés,33.467105555555555,-4.449630555555556,14.72297929033144,17.864086186600172,10.2842041015625,1532.3729248046875,0.1,28408.998839061765,Moderate,original_733,0.0549933676463474,0,True,0,0.34,0
loc_00909,Moderate,Fés-Meknés,33.46763888888889,-4.434291666666667,1398.1728939537322,18.109143058325905,11.1097998046875,1446.863037109375,0.35,29739.55753911342,Moderate,original_733,0.6390700084587586,1,False,0,0.34,1
loc_00910,Moderate,Fés-Meknés,33.467083333333335,-4.4334444444444445,1473.741973617329,22.73002696321956,13.5766796875,1493.877197265625,0.35,29788.24710436704,Moderate,original_733,0.7740896338814185,1,False,0,0.34,1
loc_00912,Moderate,Fés-Meknés,33.45984166666667,-4.393072222222223,4222.481311304972,12.906288917612551,7.454921875,1237.307373046875,0.15,33008.999919759575,Moderate,original_733,0.1256241773847441,0,True,0,0.34,0
loc_00913,Moderate,Fés-Meknés,33.459563888888894,-4.386308333333334,3595.793747661069,8.101880182648932,4.4171923828125,1271.4453125,0.15,33593.90184723155,Moderate,original_733,0.3286165654968769,0,True,0,0.34,0
