Geosite_Name,Raw_X,Raw_Y,Error,Source_File,Source_Row_Ref
Geosite 14,"32,10778N",4.38528,"unrecognized coordinate pair: '32,10778N', '4.38528'",geoheritage_aug16_2026,436
Geosite 15,"32,10972N",4.37972,"unrecognized coordinate pair: '32,10972N', '4.37972'",geoheritage_aug16_2026,437
Geosite 16,"32,11361N",4.37667,"unrecognized coordinate pair: '32,11361N', '4.37667'",geoheritage_aug16_2026,438
Geosite 17,"32,14444N",4.37167,"unrecognized coordinate pair: '32,14444N', '4.37167'",geoheritage_aug16_2026,439
Geosite 18,"32,14361N",4.37222,"unrecognized coordinate pair: '32,14361N', '4.37222'",geoheritage_aug16_2026,440
Geosite 19,"32,14389N",4.37361,"unrecognized coordinate pair: '32,14389N', '4.37361'",geoheritage_aug16_2026,441
Geosite 20,"32,14389N",4.375,"unrecognized coordinate pair: '32,14389N', '4.375'",geoheritage_aug16_2026,442
Geosite 21,"32,14056N",4.35778,"unrecognized coordinate pair: '32,14056N', '4.35778'",geoheritage_aug16_2026,443
Geosite 22,"32,14083N",4.35722,"unrecognized coordinate pair: '32,14083N', '4.35722'",geoheritage_aug16_2026,444
Geosite 23,"32,135N",4.3575,"unrecognized coordinate pair: '32,135N', '4.3575'",geoheritage_aug16_2026,445
Geosite 24,"32,13389N",4.35306,"unrecognized coordinate pair: '32,13389N', '4.35306'",geoheritage_aug16_2026,446
Geosite 25,"32,13389N",4.35222,"unrecognized coordinate pair: '32,13389N', '4.35222'",geoheritage_aug16_2026,447
Geosite 26,"32,13389N",4.35083,"unrecognized coordinate pair: '32,13389N', '4.35083'",geoheritage_aug16_2026,448
Geosite 27,"32,13861N",4.36167,"unrecognized coordinate pair: '32,13861N', '4.36167'",geoheritage_aug16_2026,449
Geosite 28,"32,13833N",4.36111,"unrecognized coordinate pair: '32,13833N', '4.36111'",geoheritage_aug16_2026,450
Geosite 29,"32,14639N",4.36444,"unrecognized coordinate pair: '32,14639N', '4.36444'",geoheritage_aug16_2026,451
Geosite 30,"32,14444N",4.36361,"unrecognized coordinate pair: '32,14444N', '4.36361'",geoheritage_aug16_2026,452
Geosite 31,"32,32222N",4.54833,"unrecognized coordinate pair: '32,32222N', '4.54833'",geoheritage_aug16_2026,453
Geosite 32,"32,32278N",4.54806,"unrecognized coordinate pair: '32,32278N', '4.54806'",geoheritage_aug16_2026,454
Geosite 33,"32,22167N",4.52139,"unrecognized coordinate pair: '32,22167N', '4.52139'",geoheritage_aug16_2026,455
Geosite 34,"32,22083N",4.52639,"unrecognized coordinate pair: '32,22083N', '4.52639'",geoheritage_aug16_2026,456
Geosite 35,"32,21972N",4.53028,"unrecognized coordinate pair: '32,21972N', '4.53028'",geoheritage_aug16_2026,457
Geosite 36,"32,22639N",4.50028,"unrecognized coordinate pair: '32,22639N', '4.50028'",geoheritage_aug16_2026,458
Geosite 37,"32,22833N",4.49861,"unrecognized coordinate pair: '32,22833N', '4.49861'",geoheritage_aug16_2026,459
Geosite 38,"32,22611N",4.49389,"unrecognized coordinate pair: '32,22611N', '4.49389'",geoheritage_aug16_2026,460
Geosite 39,"32,23028N",4.49333,"unrecognized coordinate pair: '32,23028N', '4.49333'",geoheritage_aug16_2026,461
Geosite 40,"32,22917N",4.49417,"unrecognized coordinate pair: '32,22917N', '4.49417'",geoheritage_aug16_2026,462
Geosite 41,"32,22833N",4.49806,"unrecognized coordinate pair: '32,22833N', '4.49806'",geoheritage_aug16_2026,463
Geosite 42,"32,22972N",4.49194,"unrecognized coordinate pair: '32,22972N', '4.49194'",geoheritage_aug16_2026,464
Geosite 43,"32,23139N",4.48556,"unrecognized coordinate pair: '32,23139N', '4.48556'",geoheritage_aug16_2026,465
Geosite 44,"32,23194N",4.48528,"unrecognized coordinate pair: '32,23194N', '4.48528'",geoheritage_aug16_2026,466
Geosite 45,"32,23222N",4.48111,"unrecognized coordinate pair: '32,23222N', '4.48111'",geoheritage_aug16_2026,467
Geosite 46,"32,23361N",4.47833,"unrecognized coordinate pair: '32,23361N', '4.47833'",geoheritage_aug16_2026,468
Geosite 47,"32,23556N",4.47528,"unrecognized coordinate pair: '32,23556N', '4.47528'",geoheritage_aug16_2026,469
Geosite 48,"32,23472N",4.47472,"unrecognized coordinate pair: '32,23472N', '4.47472'",geoheritage_aug16_2026,470
Geosite 49,"32,235N",4.47472,"unrecognized coordinate pair: '32,235N', '4.47472'",geoheritage_aug16_2026,471
Geosite 50,"32,23528N",4.47444,"unrecognized coordinate pair: '32,23528N', '4.47444'",geoheritage_aug16_2026,472
Geosite 51,"32,23556N",4.47389,"unrecognized coordinate pair: '32,23556N', '4.47389'",geoheritage_aug16_2026,473
Geosite 52,"32,23611N",4.47306,"unrecognized coordinate pair: '32,23611N', '4.47306'",geoheritage_aug16_2026,474
Geosite 53,"32,23639N",4.47278,"unrecognized coordinate pair: '32,23639N', '4.47278'",geoheritage_aug16_2026,475
Geosite 54,"32,15944N",4.36028,"unrecognized coordinate pair: '32,15944N', '4.36028'",geoheritage_aug16_2026,476
Geosite 55,"32,17194N",4.3675,"unrecognized coordinate pair: '32,17194N', '4.3675'",geoheritage_aug16_2026,477
Geosite 56,"32,14722N",4.38139,"unrecognized coordinate pair: '32,14722N', '4.38139'",geoheritage_aug16_2026,478
Geosite 57,"32,13444N",4.36222,"unrecognized coordinate pair: '32,13444N', '4.36222'",geoheritage_aug16_2026,479
Geosite 58,"32,13333N",4.36306,"unrecognized coordinate pair: '32,13333N', '4.36306'",geoheritage_aug16_2026,480
Geosite 59,"32,13361N",4.36278,"unrecognized coordinate pair: '32,13361N', '4.36278'",geoheritage_aug16_2026,481
Geosite 60,"32,13389N",4.36278,"unrecognized coordinate pair: '32,13389N', '4.36278'",geoheritage_aug16_2026,482
Geosite 61,"32,13417N",4.36222,"unrecognized coordinate pair: '32,13417N', '4.36222'",geoheritage_aug16_2026,483
Geosite 62,"32,13472N",4.36194,"unrecognized coordinate pair: '32,13472N', '4.36194'",geoheritage_aug16_2026,484
Geosite 63,"32,13472N",4.36194,"unrecognized coordinate pair: '32,13472N', '4.36194'",geoheritage_aug16_2026,485
Geosite 64,"32,13417N",4.36278,"unrecognized coordinate pair: '32,13417N', '4.36278'",geoheritage_aug16_2026,486
Geosite 65,"32,13556N",4.36167,"unrecognized coordinate pair: '32,13556N', '4.36167'",geoheritage_aug16_2026,487
Geosite 66,"32,13556N",4.36139,"unrecognized coordinate pair: '32,13556N', '4.36139'",geoheritage_aug16_2026,488
Geosite 67,"32,13556N",4.36111,"unrecognized coordinate pair: '32,13556N', '4.36111'",geoheritage_aug16_2026,489
Geosite 68,"32,13278N",4.36172,"unrecognized coordinate pair: '32,13278N', '4.36172'",geoheritage_aug16_2026,490
Geosite 69,"32,13389N",4.36306,"unrecognized coordinate pair: '32,13389N', '4.36306'",geoheritage_aug16_2026,491
Geosite 70,"32,135N",4.36222,"unrecognized coordinate pair: '32,135N', '4.36222'",geoheritage_aug16_2026,492
Geosite 71,"32,135N",4.36222,"unrecognized coordinate pair: '32,135N', '4.36222'",geoheritage_aug16_2026,493
Geosite 72,"32,13556N",4.36194,"unrecognized coordinate pair: '32,13556N', '4.36194'",geoheritage_aug16_2026,494
Geosite 73,"32,12528N",4.35944,"unrecognized coordinate pair: '32,12528N', '4.35944'",geoheritage_aug16_2026,495
Geosite 74,"32,125N",4.35944,"unrecognized coordinate pair: '32,125N', '4.35944'",geoheritage_aug16_2026,496
Geosite 75,"32,125N",4.35972,"unrecognized coordinate pair: '32,125N', '4.35972'",geoheritage_aug16_2026,497
Geosite 76,"32,12472N",4.35944,"unrecognized coordinate pair: '32,12472N', '4.35944'",geoheritage_aug16_2026,498
Geosite 77,"32,12444N",4.35944,"unrecognized coordinate pair: '32,12444N', '4.35944'",geoheritage_aug16_2026,499
