Locality_ID,Geosite_Name,Latitude_WGS84,Longitude_WGS84,Region,Geosite_Type,Elevation_m,Slope_deg,Ruggedness,Dist_to_Highway_m,LULC_Friction,Dist_to_Settlement_m,Geology_Class,Soil_Class
loc_00040,Bab El Kasbah,35.788648,-5.815002,Tanger-Al Hoceima,,69.3796615600586,8.559037727316724,4.447898254394532,234.80701473927704,0.05,2361.4255830554853,82.0,10.0
loc_00041,Bab El Bahr,35.789007,-5.812113,Tanger-Al Hoceima,,56.411109924316406,18.33485478728869,10.783554306030274,124.77580031093898,0.55,2294.972121741819,82.0,10.0
loc_00042,Bab Lassa,35.788119,-5.812018,Tanger-Al Hoceima,,52.86754608154297,10.132914346236833,5.388539276123047,195.22444129284065,0.05,2199.473996492478,82.0,10.0
loc_00043,Bab El Hira,35.78653,-5.809422,Tanger-Al Hoceima,,19.225309371948242,12.716055060357412,8.146350374221802,114.71044471955996,0.05,1957.3228698238188,82.0,10.0
loc_00044,Bab American,35.783817,-5.810501,Tanger-Al Hoceima,,46.73634338378906,8.649735610121716,7.039547805786133,242.25500220026538,0.05,1704.2353392275377,82.0,10.0
loc_00045,Bab Haha,35.788671,-5.811854,Tanger-Al Hoceima,,53.474483489990234,13.622893721278526,5.551269607543945,138.60459609336596,0.05,2251.868775646614,82.0,10.0
loc_00046,Bouanania Cemetery,35.7908171,-5.8200251,Tanger-Al Hoceima,,59.844017028808594,19.877262342264025,13.45473861694336,125.66096598665594,0.1,2795.0465574050077,82.0,10.0
loc_00047,Sour Al Maâkazine,35.7810852,-5.8117345,Tanger-Al Hoceima,,50.01344680786133,15.590269664934375,9.84806869506836,31.25735384777064,0.55,1481.3000179550868,82.0,10.0
loc_00048,Villa Perdicaris,35.7921543,-5.8601788,Tanger-Al Hoceima,,178.62074279785156,15.978514283222301,10.377359619140625,793.5499268782056,0.15,5705.334368332982,82.0,10.0
loc_00050,Hercules Cave,35.7599335,-5.9392319,Tanger-Al Hoceima,,17.071247100830078,12.224319114847,7.253230745792389,124.050165194293,0.1,12307.222653846968,82.0,3.0
loc_00051,Horse Cave,35.7613313,-5.9355535,Tanger-Al Hoceima,,11.831962585449219,10.328547848391658,5.9578906917572025,281.74539136861495,0.15,11963.550549368616,82.0,3.0
loc_00052,Marina Port,35.79109,-5.810278,Tanger-Al Hoceima,,0.894583523273468,1.2462848135793145,0.7277053165435791,152.68833983589226,0.9,2466.6541026816894,82.0,10.0
loc_00053,Continental Hotel,35.787464,-5.809423,Tanger-Al Hoceima,,22.2059326171875,11.504148835375759,7.349681053161621,107.72193401672924,0.05,2057.2605534696845,82.0,10.0
loc_00054,Old ‘Hafa’ Coffee shop,35.791346,-5.821947,Tanger-Al Hoceima,,63.11250686645508,23.081282143549878,15.488098106384278,118.4771098159936,0.05,2940.1364629363575,82.0,10.0
loc_00055,Souk Dakhel,35.784726,-5.812676,Tanger-Al Hoceima,,45.52054977416992,4.718500294806502,2.4843380737304686,412.8548385632273,0.05,1877.525102008217,82.0,10.0
loc_00056,Ibn Battuta Mausoleum,35.787414,-5.813693,Tanger-Al Hoceima,,52.7593879699707,12.949217733104634,8.992742462158203,340.12678913385537,0.05,2186.4557831152338,82.0,10.0
loc_00057,Bouarakiya Mausoleum,35.783531,-5.81884,Tanger-Al Hoceima,,66.47209930419922,6.044472278265192,3.884753875732422,0.8977288457175512,0.05,2083.589124216568,82.0,8.0
loc_00058,Sidi Hosni Mausoleum,35.7884747,-5.8116093,Tanger-Al Hoceima,,52.38766860961914,13.74484647016037,6.411020812988281,141.42877118169807,0.05,2223.868252356919,82.0,10.0
loc_00059,Ben Raisoul Mausoleum,35.7875783,-5.8116361,Tanger-Al Hoceima,,38.76667404174805,10.633802126958422,7.151009979248047,226.84092498855009,0.05,2131.060259923912,82.0,10.0
loc_00060,Wazzani Zawiya,35.784618,-5.812035,Tanger-Al Hoceima,,47.02210998535156,6.0925222194737945,2.81787109375,373.2446716495666,0.05,1841.4657552997905,82.0,10.0
loc_00061,Lalla Abla Mosque,35.789479,-5.807049,Tanger-Al Hoceima,,0.0,2.746248234301366,1.4328327751159669,67.20845190794516,0.05,2232.1381997320304,82.0,10.0
loc_00062,Kasbah Mosque,35.788222,-5.812673,Tanger-Al Hoceima,,64.22329711914062,10.530106325081459,5.612569122314453,224.60654604197765,0.05,2231.7665811927577,82.0,10.0
loc_00063,Cathedral of the Holy,35.782167,-5.817982,Tanger-Al Hoceima,,72.8399429321289,5.04034403015149,2.46777099609375,12.86690496266559,0.05,1919.6883583012323,82.0,8.0
loc_00064,Andrew’s Anglican,35.783351,-5.81439,Tanger-Al Hoceima,,54.54765319824219,7.776482340101225,3.773059539794922,295.7034075728777,0.05,1821.8756264045458,82.0,10.0
loc_00065,Immaculate Conception,35.783351,-5.811323,Tanger-Al Hoceima,,34.53644943237305,7.934212282043315,4.5756016540527344,279.2311277207236,0.05,1686.6444365119778,82.0,10.0
loc_00067,Karkoura Ordovician,33.85611,-4.61389,Fez-Meknes,,567.315185546875,13.381329140491866,7.9772216796875,797.8353882941302,0.35,20562.488895179682,71.0,3.0
loc_00068,Oued Sebou Ordovician,33.84056,-4.64306,Fez-Meknes,,486.50372314453125,13.417342898411453,8.8338623046875,408.8449860322136,0.15,17661.08766560024,8.0,3.0
loc_00069,Oued Sebou Triassic,33.83889,-4.64306,Fez-Meknes,,488.5203857421875,13.791217128168926,8.27764892578125,357.24874877947207,0.15,17643.91524422908,8.0,3.0
