Observation_ID,Geosite_Name,Latitude_WGS84,Longitude_WGS84,Region,Geosite_Type,Geological_Domain,Locality_Center_Lat,Locality_Center_Lon,Locality_Group_Key,Coordinate_Precision,Source_File,Source_Row_Ref,Center_Coord_Source,Is_Merchich_Format
obs3_00084,Upper Devonian Kellwasser black limestones of Bou Ounabdou,33.142833333333336,-5.5175,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_3,point,geoheritage_aug16_2026,88,,False
obs3_00085,Paleozoic Gara outcrop with Mesozoic cover of Mrirt,3.1518333333333333,-5.503166666666667,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_3,point,geoheritage_aug16_2026,90,,False
obs3_00086,Ordovician plicative structures of Mrirt,33.1,-5.586833333333333,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_3,point,geoheritage_aug16_2026,91,,False
obs3_00087,Permian granitic dyke of Tighza,33.197833333333335,-5.617,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_3,point,geoheritage_aug16_2026,92,,False
obs3_00088,Clay matrix conglomerates of Permian in Khenifra,32.954,-5.685833333333333,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_3,point,geoheritage_aug16_2026,96,,False
obs3_00089,Permian alternating clay and sand stonebeds of Khenifra,32.9605,-5.688,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_3,point,geoheritage_aug16_2026,97,,False
obs3_00090,Permian/Ordovician unconformity of Iaarochen,33.02883333333333,-5.614333333333334,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_3,point,geoheritage_aug16_2026,98,,False
obs3_00091,Permian/Ordovician unconformity of Assabera,33.0495,-5.614333333333334,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_3,point,geoheritage_aug16_2026,99,,False
obs3_00092,Triassic/Ordovician unconformity of Azrou,33.464333333333336,-5.172,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_3,point,geoheritage_aug16_2026,100,,False
obs3_00093,Triassic/upper Devonian unconformity of Tigrigra,33.48683333333334,-5.261666666666667,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_3,point,geoheritage_aug16_2026,101,,False
obs3_00094,Triassic clays and basalts Concordance of Azrou,33.46333333333333,-5.169333333333333,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_3,point,geoheritage_aug16_2026,102,,False
obs3_00095,Triassic pillow lava of Azrou,33.46183333333333,-5.165166666666667,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_3,point,geoheritage_aug16_2026,103,,False
obs3_00096,Triassic fractured pillow lava of Azrou,33.462666666666664,-5.168333333333333,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_3,point,geoheritage_aug16_2026,104,,False
obs3_00097,Lower Liassic dolomite of Akchmir,33.43516666666667,-5.223833333333333,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_3,point,geoheritage_aug16_2026,105,,False
obs3_00098,Quaternary basalts of Oued Oum Er-Rbia,32.9955,-5.652,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_3,point,geoheritage_aug16_2026,106,,False
obs3_00099,Quaternary basalts balls of Sidi-Addi,33.389,-5.345833333333333,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_3,point,geoheritage_aug16_2026,107,,False
obs3_00100,Quaternary/Triassic unconformity of Azrou,33.461666666666666,-5.165,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_3,point,geoheritage_aug16_2026,108,,False
obs3_00101,Tasraft,32.16011388888889,-5.9311138888888895,Beni Mellal-Khenifra,,High Atlas,,,geoheritage_aug16_2026_group_4,point,geoheritage_aug16_2026,109,,False
obs3_00102,Aftis,32.08293333333334,-5.938702777777778,Beni Mellal-Khenifra,,High Atlas,,,geoheritage_aug16_2026_group_4,point,geoheritage_aug16_2026,110,,False
obs3_00103,Moriq,32.101422222222226,-5.892983333333333,Beni Mellal-Khenifra,,High Atlas,,,geoheritage_aug16_2026_group_4,point,geoheritage_aug16_2026,111,,False
obs3_00104,Tamekaste,32.07391388888889,-5.918491666666667,Beni Mellal-Khenifra,,High Atlas,,,geoheritage_aug16_2026_group_4,point,geoheritage_aug16_2026,112,,False
obs3_00105,Anergui,32.06339444444444,-5.927097222222223,Beni Mellal-Khenifra,,High Atlas,,,geoheritage_aug16_2026_group_4,point,geoheritage_aug16_2026,113,,False
obs3_00106,Taguentourte,32.04814444444444,-5.935125,Beni Mellal-Khenifra,,High Atlas,,,geoheritage_aug16_2026_group_4,point,geoheritage_aug16_2026,114,,False
obs3_00107,Ouriz,32.03783055555555,-5.949066666666667,Beni Mellal-Khenifra,,High Atlas,,,geoheritage_aug16_2026_group_4,point,geoheritage_aug16_2026,115,,False
obs3_00108,Tagount,32.01144722222222,-5.942555555555556,Beni Mellal-Khenifra,,High Atlas,,,geoheritage_aug16_2026_group_4,point,geoheritage_aug16_2026,116,,False
obs3_00109,Tizi N'Dari,32.01065555555556,-5.929797222222223,Beni Mellal-Khenifra,,High Atlas,,,geoheritage_aug16_2026_group_4,point,geoheritage_aug16_2026,117,,False
obs3_00110,Batly,32.003619444444446,-5.923263888888889,Beni Mellal-Khenifra,,High Atlas,,,geoheritage_aug16_2026_group_4,point,geoheritage_aug16_2026,118,,False
obs3_00111,Inoufigun,31.99865,-5.929397222222223,Beni Mellal-Khenifra,,High Atlas,,,geoheritage_aug16_2026_group_4,point,geoheritage_aug16_2026,119,,False
