Geological domain,Administrative region,Auteurs,Titre,Evaluated geosites,Geosite's type,Coordinates,,,,,,,,,,,
,,,,Triassic clays and basalts Concordance of Azrou,,33°27.80’N,5°10.16’W,,,,,,,,,,
,,,,Triassic pillow lava of Azrou,,33°27.71’N,5°09.91’W,,,,,,,,,,
,,,,Triassic fractured pillow lava of Azrou,,33°27.76’N,5°10.10’W,,,,,,,,,,
,,,,Lower Liassic dolomite of Akchmir,,33°26.11’N,5°13.43’W,,,,,,,,,,
,,,,Quaternary basalts of Oued Oum Er-Rbia,,32°59.73’N,5°39.12’W,,,,,,,,,,
,,,,Quaternary basalts balls of Sidi-Addi,,33°23.34’N,5°20.75’W,,,,,,,,,,
,,,,Quaternary/Triassic unconformity of Azrou,,33°27.70’N,5°09.90’W,,,,,,,,,,
High Atlas,Beni Mellal-Khenifra,"Naitouacha et al., 2024",Geological Sites of the Anergui Region: Description and Place in the Alpine Geological History of the M'goun UNESCO Global Geopark (Morocco),Tasraft,,"32° 9'36.41""N","5°55'52.01""W",,,,,,,,,,
,,,,Aftis,,"32° 4'58.56""N","5°56'19.33""W",,,,,,,,,,
,,,,Moriq,,"32° 6'5.12""N","5°53'34.74""W",,,,,,,,,,
,,,,Tamekaste,,"32° 4'26.09""N","5°55'6.57""W",,,,,,,,,,
,,,,Anergui,,"32° 3'48.22""N","5°55'37.55""W",,,,,,,,,,
,,,,Taguentourte,,"32° 2'53.32""N","5°56'6.45""W",,,,,,,,,,
,,,,Ouriz,,"32° 2'16.19""N","5°56'56.64""W",,,,,,,,,,
,,,,Tagount,,"32° 0'41.21""N","5°56'33.20""W",,,,,,,,,,
,,,,Tizi N'Dari,,"32° 0'38.36""N","5°55'47.27""W",,,,,,,,,,
,,,,Batly,,"32° 0'13.03""N","5°55'23.75""W",,,,,,,,,,
,,,,Inoufigun,,"31°59'55.14""N","5°55'45.83""W",,,,,,,,,,
,,,,Imaouen N’Tfalouine,,"32° 4'40.35""N","5°57'16.74""W",,,,,,,,,,
,,,,Akhachane,,"32° 3'14.82""N","6° 4'50.02""W",,,,,,,,,,
