Locality_ID,Geosite_Name,Latitude_WGS84,Longitude_WGS84,Region,Geosite_Type,Geological_Domain,Observation_Count,Member_Observation_IDs,Source_Files,Correction_Applied,Ground_Truth_Note
loc_00104,Arich OuzellaFm,31.162091666666665,-9.703619444444444,Marrakech-Safi,S&PL,The Great Moroccan Atlantic Basin (MAP),1,obs2_00122,geoheritage_expanded_20260809,,
loc_00105,Amsittene Fm,31.146552777777774,-9.743005555555555,Marrakech-Safi,S,The Great Moroccan Atlantic Basin (MAP),1,obs2_00123,geoheritage_expanded_20260809,,
loc_00106,Id ou Moulid Fm,31.143002777777777,-9.739027777777777,Marrakech-Safi,S&PL,The Great Moroccan Atlantic Basin (MAP),1,obs2_00124,geoheritage_expanded_20260809,,
loc_00107,Arich Ouzella cave,31.162775,-9.700344444444443,Marrakech-Safi,G,The Great Moroccan Atlantic Basin (MAP),1,obs2_00125,geoheritage_expanded_20260809,,
loc_00108,Subvertical strata,31.141513888888888,-9.751880555555555,Marrakech-Safi,S,The Great Moroccan Atlantic Basin (MAP),1,obs2_00126,geoheritage_expanded_20260809,,
loc_00109,Triassic-Quaternary contact,31.098191666666665,-9.822580555555556,Marrakech-Safi,S,The Great Moroccan Atlantic Basin (MAP),1,obs2_00127,geoheritage_expanded_20260809,,
loc_00110,Quaternary-Jurassic contact,31.09722777777778,-9.824833333333332,Marrakech-Safi,S,The Great Moroccan Atlantic Basin (MAP),1,obs2_00128,geoheritage_expanded_20260809,,
loc_00111,Fold hinge,31.09916944444444,-9.828880555555555,Marrakech-Safi,S,The Great Moroccan Atlantic Basin (MAP),1,obs2_00129,geoheritage_expanded_20260809,,
loc_00112,Cretaceous Quaternary contact,31.10043888888889,-9.833491666666667,Marrakech-Safi,S,The Great Moroccan Atlantic Basin (MAP),1,obs2_00130,geoheritage_expanded_20260809,,
loc_00113,Triple point,31.10076111111111,-9.839516666666666,Marrakech-Safi,S,The Great Moroccan Atlantic Basin (MAP),1,obs2_00131,geoheritage_expanded_20260809,,
loc_00114,Macrofossils,31.152080555555557,-9.705341666666666,Marrakech-Safi,PL,The Great Moroccan Atlantic Basin (MAP),1,obs2_00132,geoheritage_expanded_20260809,,
loc_00115,Fossiliferous dunes,31.160627777777776,-9.705713888888887,Marrakech-Safi,PL,The Great Moroccan Atlantic Basin (MAP),1,obs2_00133,geoheritage_expanded_20260809,,
loc_00116,Folded structure1,31.192766666666667,-9.65986111111111,Marrakech-Safi,S,The Great Moroccan Atlantic Basin (MAP),1,obs2_00134,geoheritage_expanded_20260809,,
loc_00117,Folded structure 2,31.15841111111111,-9.686902777777778,Marrakech-Safi,S,The Great Moroccan Atlantic Basin (MAP),1,obs2_00135,geoheritage_expanded_20260809,,
loc_00118,Folded structure 3,31.15719722222222,-9.697530555555556,Marrakech-Safi,S,The Great Moroccan Atlantic Basin (MAP),1,obs2_00136,geoheritage_expanded_20260809,,
loc_00119,Amsittene folded structures,31.20817222222222,-9.703027777777775,Marrakech-Safi,S,The Great Moroccan Atlantic Basin (MAP),1,obs2_00137,geoheritage_expanded_20260809,,
loc_00120,Alluvial cone,31.09843333333333,-9.813108333333334,Marrakech-Safi,S,The Great Moroccan Atlantic Basin (MAP),1,obs2_00138,geoheritage_expanded_20260809,,
loc_00121,Chiker polje,34.118611111111115,-4.040555555555556,Fès-Meknès,K&S,Middle Atlas,1,obs2_00139,geoheritage_expanded_20260809,,
loc_00122,Chiker cave,34.12166666666667,-4.038333333333333,Fès-Meknès,K,Middle Atlas,1,obs2_00140,geoheritage_expanded_20260809,,
loc_00123,Dolines of Ademame,34.04361111111111,-4.095,Fès-Meknès,K,Middle Atlas,1,obs2_00141,geoheritage_expanded_20260809,,
loc_00124,Ras El Oued cave,33.95916666666667,-4.0,Fès-Meknès,K,Middle Atlas,1,obs2_00142,geoheritage_expanded_20260809,,
loc_00125,Chaâra lapiaz,33.97361111111111,-4.224722222222223,Fès-Meknès,K,Middle Atlas,1,obs2_00143,geoheritage_expanded_20260809,,
loc_00126,Chaâra cave,33.95583333333334,-4.246111111111111,Fès-Meknès,K,Middle Atlas,2,obs2_00144;obs2_01194,geoheritage_expanded_20260809,,
loc_00127,GueltaTameda Lake,33.81777777777778,-4.081666666666666,Fès-Meknès,K,Middle Atlas,1,obs2_00145,geoheritage_expanded_20260809,,
loc_00128,Taffert canyons,33.72138888888889,-4.2275,Fès-Meknès,K,Middle Atlas,1,obs2_00146,geoheritage_expanded_20260809,,
