Locality_ID,Geosite_Name,Latitude_WGS84,Longitude_WGS84,Region,Elevation_m,Slope_deg,Ruggedness,Dist_to_Highway_m,LULC_Friction,Dist_to_Settlement_m
loc_00110,Quaternary-Jurassic contact,31.09722777777778,-9.824833333333332,Marrakech-Safi,10.163599014282227,10.564291111957163,9.994418334960937,173.16817718265557,0.15,46485.238252011164
loc_00111,Fold hinge,31.09916944444444,-9.828880555555555,Marrakech-Safi,0.0,10.47195667808737,8.064375381469727,607.1560437513259,0.1,46322.22184831283
loc_00112,Cretaceous Quaternary contact,31.10043888888889,-9.833491666666667,Marrakech-Safi,7.111008644104004,15.382724481432335,12.933646373748779,1068.0457741518862,0.15,46244.622095845276
loc_00113,Triple point,31.10076111111111,-9.839516666666666,Marrakech-Safi,6.363839149475098,9.257102355142987,5.795493022203446,1627.213945669533,0.15,46296.669506308375
loc_00114,Macrofossils,31.15208055555556,-9.705341666666666,Marrakech-Safi,441.0716552734375,6.171238214821642,3.408128662109375,32.192483380297155,0.15,40363.59042232605
loc_00115,Fossiliferous dunes,31.160627777777776,-9.705713888888887,Marrakech-Safi,383.31329345703125,7.186310205388199,3.90877685546875,302.1257071389781,0.1,39417.0476328105
loc_00116,Folded structure1,31.192766666666667,-9.65986111111111,Marrakech-Safi,365.2033996582031,17.781481300059614,10.64741455078125,10.828921353417197,0.35,36782.134844993205
loc_00117,Folded structure 2,31.15841111111111,-9.686902777777778,Marrakech-Safi,661.5985107421875,26.85311900748578,15.9529931640625,1919.6428079379891,0.35,39941.71247623969
loc_00118,Folded structure 3,31.15719722222222,-9.697530555555556,Marrakech-Safi,492.7695617675781,18.263116882689612,9.698056640625,943.0102406844043,0.35,39907.02680024555
loc_00119,Amsittene folded structures,31.20817222222222,-9.703027777777775,Marrakech-Safi,274.30841064453125,9.649384399519619,5.026954345703125,34.7200619781668,0.05,34227.54351253357
loc_00120,Alluvial cone,31.09843333333333,-9.813108333333334,Marrakech-Safi,89.40814971923828,13.410289336252122,6.585305786132812,27.51019962353808,0.15,46222.23996803106
loc_00184,The alluvial plain of Tadakoust,29.250291666666666,-8.691086111111112,Souss-Massa,563.6367797851562,1.2458466373793442,0.56278076171875,290.1326810609437,0.1,88986.33535439178
loc_00185,Deflation phenomenon in the Drâa plain,29.22623611111111,-7.874097222222223,Souss-Massa,333.1604309082031,0.886455611088185,0.242518310546875,28225.740034313567,0.1,58572.799756908236
