Locality_ID,Dist_to_Trail_m
loc_00797,814.8994139256266
loc_00798,1320.3744508914895
loc_00800,547.6800328956842
loc_00801,226.16560981604064
loc_00802,2070.671185808637
loc_00804,519.2447895339977
loc_00805,1202.5826156020848
loc_00807,44.62344257671275
loc_00808,792.0959800542219
loc_00809,680.4621456731566
loc_00810,230.8405442149121
loc_00811,1604.087398768777
loc_00812,2409.4187147779444
loc_00813,1290.4802611843827
loc_00793,2216.5156157855936
loc_00794,452.9734691107809
loc_00004,130.2063108534723
loc_00003,1208.4506594653044
loc_00002,487.779522834417
loc_00001,2519.8961131259416
loc_00033,596.5915517156502
loc_00032,99.21657929672514
loc_00025,1647.9480934563849
loc_00031,848.9497273268408
loc_00034,186.2119897635677
loc_00030,586.3131704131425
loc_00035,106.62992656709591
loc_00021,47.02002614902972
loc_00036,255.53721066088835
loc_00029,617.7915009380853
loc_00022,402.12158738097213
loc_00037,1289.3607146735458
loc_00024,218.88195971647534
loc_00020,148.0893671080803
loc_00026,1372.5033884203813
loc_00023,1282.6029921404006
loc_00038,764.127772461621
loc_00039,72.66814221939416
loc_00027,162.75118144840937
loc_00055,1114.7332328474986
loc_00028,40.271330810684674
loc_00050,210.981740697625
loc_00019,1293.7206961373615
loc_00048,1503.191522892831
loc_00049,1503.191522892831
loc_00044,198.35631328586817
loc_00018,917.8472878735239
loc_00051,1279.3462592645685
loc_00046,423.2007864954509
loc_00054,2104.7176038623
loc_00040,582.2081367298288
loc_00053,13.838881938584985
loc_00017,349.2305912323854
loc_00043,70.7736391243419
loc_00042,435.80105417438864
loc_00016,398.038586802309
loc_00015,356.0020543501393
loc_00013,333.1175808294753
loc_00012,316.2104647799161
loc_00011,322.1556032278569
loc_00010,290.6262588637391
loc_00009,262.80323783556366
loc_00008,247.0057516462918
loc_00007,104.48359057410111
loc_00006,53.20736314411673
loc_00014,334.36243659426685
loc_00073,368.24847491321225
loc_00756,189.33731125263412
loc_00757,339.3319568239868
loc_00758,288.5094720901828
loc_00759,417.14936965504864
loc_00760,685.7776035376943
loc_00761,31.0833125760778
loc_00762,169.08368992877516
loc_00763,973.4503384880486
loc_00764,534.457880332308
loc_00765,951.3952958525421
loc_00766,1055.3175264708223
loc_00767,1108.756382912733
loc_00747,492.9516057037885
loc_00748,2819.5524127517597
loc_00749,698.4941584414217
loc_00750,4558.247813123556
loc_00751,1378.4109209296312
loc_00752,2127.5789825946044
loc_00753,2864.6674208556074
loc_00754,60.23246327375058
loc_00755,1518.5854333986467
loc_00454,77.79564885225146
loc_00455,46.585997570261505
loc_00456,315.22579939859156
loc_00457,457.03060166072504
loc_00458,206.3607528127438
loc_00775,1364.8172287379934
loc_00776,1286.2073219344747
loc_00739,451.1571104272712
loc_00740,855.0720618652751
loc_00741,1574.5103015843888
loc_00742,350.4578368234904
loc_00743,65.26428431214798
loc_00744,795.841495613594
loc_00745,1414.697324707156
loc_00746,2312.2844333664802
loc_00353,3513.9414479721954
loc_00354,2703.9156767844797
loc_00366,56.803806774218906
loc_00355,2947.4230403910237
loc_00357,3803.0682013162213
loc_00367,353.33802718844584
loc_00374,14.680802212411022
loc_00369,150.41764919586709
loc_00361,737.4474439346009
loc_00371,629.347979555157
loc_00370,8.184440596006468
loc_00372,146.51661303974007
loc_00072,679.8970933177665
loc_00362,1688.4861161507608
loc_00071,492.6050270584803
loc_00086,6.172225972870255
loc_00083,6.3984638814769
loc_00081,691.8414889290297
loc_00082,347.03884545688896
loc_00078,94.53024370661949
loc_00079,334.22397703854523
loc_01047,47.187413424531016
loc_01051,236.20982774517228
loc_01055,872.2890884571669
loc_01065,10.949200732991342
loc_01066,9.91749889058535
loc_00917,1582.0223261147182
loc_00918,338.5048497035005
loc_00919,1095.1047469200278
loc_00920,64.20636412004377
loc_00921,934.7127633389197
loc_00922,18.63404901256579
loc_00923,1107.2969916297905
loc_00924,2487.9693945697395
loc_00925,934.7127633389197
loc_00926,1788.3931774840657
loc_00927,89.3831791560957
loc_00928,1451.0999678575238
loc_00929,453.61858799546775
loc_00930,256.17527852915634
loc_00931,935.5230714752937
loc_00932,3193.0041680233367
loc_00933,474.76739256845696
loc_00934,313.83390794210095
loc_00935,921.9184060880261
loc_00936,211.92210752403008
loc_00937,674.057686137668
loc_00938,57.800115439739415
loc_00939,40.10537823527387
loc_00940,299.38707946615284
loc_00941,17.8063828017257
loc_00942,993.8621384654551
loc_00943,109.38673919353418
loc_00944,662.060498544195
loc_00945,600.5185271408287
loc_00947,126.10897549310701
loc_00948,198.64932605910812
loc_00949,96.31555713660235
loc_00950,395.24276603141914
loc_00951,190.54321940809373
loc_00952,22.37176007992613
loc_00953,36.22728224880425
loc_00954,888.5244805392927
loc_00956,1732.0357009389643
loc_00957,86.7275462975943
loc_00958,414.31215440633076
loc_00959,529.3153354456367
loc_00960,156.38872187386855
loc_00961,215.30759460687585
loc_00962,0.302117098680226
loc_00963,358.60484761376966
loc_00964,242.12652154926636
loc_00965,212.74397386689608
loc_00966,61.76051394796089
loc_00967,33.068072819405764
loc_00968,749.053453343159
loc_00969,350.47067312540605
loc_00970,1381.739373764281
loc_00971,279.1140729931195
loc_00972,1108.8824643317625
loc_00973,120.71491848702813
loc_00974,178.46908812501624
loc_00975,120.2172206056747
loc_00976,386.2401940686578
loc_00977,95.84759305321455
loc_00978,510.70760436038825
loc_00979,321.550499057318
loc_00980,79.87950485557833
loc_00981,210.75452182004923
loc_00982,5.869354641382084
loc_00983,1242.0550370234957
loc_00984,242.81658064329278
loc_00985,281.48276606601354
loc_00987,3.9446733262078744
loc_00988,494.1986538479556
loc_00989,27.88446332561639
loc_00990,16.647373260747855
loc_00991,500.72089692745834
loc_00992,76.90355485616564
loc_00993,103.0037994215313
loc_00995,811.7706341950715
loc_00996,385.0973354618522
loc_00997,119.75774959008031
loc_01071,768.3063638399022
loc_00998,728.5762767974933
loc_00999,666.6872951813701
loc_01000,206.29098329936363
loc_01001,428.99648697374084
loc_01002,1446.7803500027012
loc_01003,291.08593029775494
loc_01004,653.2287872483282
loc_01005,37.35222117559468
loc_01006,250.1184372768837
loc_01007,203.40246685361188
loc_01008,102.92694482279576
loc_01009,1516.9998969067838
loc_01010,71.27848312323775
loc_01011,27.88446332561639
loc_01012,203.4724246383026
loc_01013,871.2904239689282
loc_01014,1107.726886711124
loc_01015,394.2640459309163
loc_01016,1051.343970465406
loc_01017,1059.2996379312033
loc_01036,554.2983676229237
loc_01018,282.8168987133438
loc_01019,122.65451868862876
loc_00946,848.1861184329766
loc_01041,1022.4880176580874
loc_00955,91.95695136993392
loc_01042,1201.9303428969004
loc_00717,481.85011807880295
loc_00994,481.999447298361
loc_01039,1876.1048476392282
loc_01040,1038.0987858026629
loc_01119,1345.160269888103
loc_01043,971.664537800713
loc_01044,1332.2804244587126
loc_01045,417.6968024625398
loc_01046,40.30258025839243
loc_01048,674.0824290112021
loc_01049,1.4381319613994894
loc_01050,294.67370225668964
loc_01052,698.8208934440977
loc_01053,2617.7218025395828
loc_01054,594.6414759333536
loc_00842,525.0612251038076
loc_01056,162.7223246407347
loc_01057,429.87552807864233
loc_01058,307.9965555313188
loc_01059,262.05429819943515
loc_01060,351.89445930293135
loc_01061,1223.2474270417445
loc_01062,52.497441631459424
loc_01063,1202.3815029629247
loc_01064,254.64077591878274
loc_01067,552.1946508105378
loc_01068,1480.8987096296025
loc_01069,1510.8842627789406
loc_01070,1233.7212505363677
loc_01072,1020.6170088332502
loc_01073,435.78670314978166
loc_01074,1354.6826011304124
loc_01075,767.9712124198254
loc_01076,1028.301013810982
loc_01077,11.226933770180695
loc_01079,1121.2718982557083
loc_01080,4481.386271893033
loc_01081,194.9203900687769
loc_01082,906.4888075994203
loc_01083,454.0150444648027
loc_01084,561.2317266025475
loc_01085,1448.7532476761921
loc_01086,699.4964637452204
loc_01087,379.4944978206547
loc_01088,637.8319168987183
loc_01089,335.45494179183834
loc_01090,1040.0817494635119
loc_01091,128.99338287134165
loc_01092,264.35394893450797
loc_01093,140.16792950692877
loc_01094,1247.053133588031
loc_01095,147.57028785198153
loc_01096,471.6918763222171
loc_01097,158.49277149760746
loc_01098,1223.1840441143177
loc_01099,72.6783847404991
loc_01100,579.0913198443053
loc_01101,573.1564011022685
loc_01102,379.4944978206547
loc_01103,408.4329472860678
loc_01104,139.8723264214355
loc_01105,895.2621001740624
loc_01106,475.70264840684007
loc_01107,774.2589680887179
loc_01108,64.11917272391246
loc_01109,139.79779140931768
loc_01110,266.42640395108066
loc_01111,2205.6065852451084
loc_01112,729.696881770513
loc_01113,79.26412945131116
loc_01114,745.0218775367296
loc_01115,1012.4624734972545
loc_01116,334.1787910543466
loc_01117,1800.8228403317382
loc_01118,1318.460994105624
loc_01120,26.15338119216708
loc_01121,162.7223246407347
loc_01122,1137.5539533191366
loc_01123,89.0645139563681
loc_01124,929.1759182398471
loc_01125,16.371149133941728
loc_01126,4.403176453009333
loc_01127,1016.4762580395253
loc_01128,51.51226966986823
loc_01129,221.88510909849754
loc_01130,93.01574194605521
loc_01131,130.86848717892698
loc_01132,626.3167838169944
loc_01133,182.93906400631968
loc_01134,2288.769134942314
loc_01135,127.09053191290536
loc_01136,950.3073670195322
loc_01137,1354.893986093215
loc_01138,210.52186708045951
loc_01139,508.317366735015
loc_01140,502.8897958047456
