Excel_Row_Index,Geosite_Name,Geosite_Type,Geological_Domain,Administrative_Region,Latitude_WGS84,Longitude_WGS84,Elevation_m,Slope_deg,Ruggedness,Dist_to_Dam_m,Dist_to_River_m,LULC_Class,Soil_Class,Geology_Class,Domain_Geosite_Count,Region_Geosite_Count,Dist_to_Highway_m,Dist_to_Piste_m,Accessibility,Accessibility_v1,Fuzzy_Accessibility_Score,Fuzzy_Accessibility_Category,Is_Inside_Boundary,V_sci,V_vuln,V_geo,Cluster_ID,Management_Profile
343,Oued Laou Gorge ,G,Rif,Tanger-Tétouan-Al Hoceïma,35.235550758142985,-5.1797965490221145,1027.55615234375,8.408731460571289,296.7176818847656,23398.931640625,1656.8048095703125,13.0,,,40.0,40.0,1183.432,0.0,Easy,Difficult,0.5629,Easy,True,2.84,1.73,2.49,2,Conservation Active (Sensibilité physique)
344,Ibouharen Fold,SG,Rif,Tanger-Tétouan-Al Hoceïma,35.24543329036464,-5.15818572568217,616.0255126953125,4.535290718078613,147.63320922851562,23883.310546875,0.0,15.0,,32.0,40.0,40.0,2366.864,0.0,Easy,Difficult,0.6488,Easy,True,2.66,4.1,2.91,4,Promotion Géotouristique Locale
345,Tirinesse Basin ,S,Rif,Tanger-Tétouan-Al Hoceïma,35.28305489894164,-5.130659902793731,1151.0152587890625,9.890663146972656,350.2606201171875,22481.53515625,3313.609619140625,15.0,9.0,69.0,40.0,40.0,5917.16,1183.432,Difficult,Difficult,0.1437,Difficult,True,2.93,4.14,3.44,4,Promotion Géotouristique Locale
346,Koudiat Achacha ,SG,Rif,Tanger-Tétouan-Al Hoceïma,35.2710502173657,-5.12157746130065,883.5203857421875,6.001735687255859,222.47625732421875,24138.33984375,1656.8048095703125,13.0,9.0,69.0,40.0,40.0,6372.9766,0.0,Easy,Difficult,0.5517,Easy,True,4.75,3.11,2.66,3,Promotion Éducative (Grand Public)
347,"Dune,beachand cliffs of Kaâ Asrascoast",S,Rif,Tanger-Tétouan-Al Hoceïma,35.3746530740449,-5.024382099022211,1253.89794921875,12.05183219909668,325.01422119140625,25299.759765625,3783.313720703125,8.0,,25.0,40.0,40.0,1183.432,0.0,Easy,Difficult,0.5013,Easy,True,4.35,2.46,3.19,1,Préservation Passive (Accès difficile)
348,Targha mica-shist ,PT,Rif,Tanger-Tétouan-Al Hoceïma,35.412906152617786,-5.028550441283678,1171.591796875,15.854135513305664,384.19769287109375,24600.708984375,1656.8048095703125,13.0,9.0,,40.0,40.0,1183.432,1673.6256,Moderate,Difficult,0.4081,Moderate,False,2.81,2.39,3.85,4,Promotion Géotouristique Locale
349,Stehat gneiss,PT,Rif,Tanger-Tétouan-Al Hoceïma,35.45561402078408,-5.096308659865039,1953.5,2.7823052406311035,263.2817077636719,17751.48046875,3783.313720703125,13.0,3.0,25.0,40.0,40.0,0.0,0.0,Easy,Difficult,0.7021,Easy,True,4.36,1.91,3.3,0,Préservation Absolue (Sanctuaire)
350,Beni Bousera Kinzigites ,PT,Rif,Tanger-Tétouan-Al Hoceïma,35.48207414879903,-5.131463767369714,1809.4642333984373,8.227495193481445,225.6839599609375,14667.2177734375,1656.8048095703125,11.0,9.0,25.0,40.0,40.0,0.0,0.0,Easy,Difficult,0.7198,Easy,True,3.06,2.13,3.9,2,Conservation Active (Sensibilité physique)
351,Tihissasse fan delta,G,Rif,Tanger-Tétouan-Al Hoceïma,35.474510865016946,-5.113093485521536,1830.040771484375,10.357747077941896,266.01129150390625,15617.6328125,1656.8048095703125,8.0,9.0,25.0,40.0,40.0,0.0,1183.432,Easy,Difficult,0.637,Easy,True,3.44,2.04,3.37,2,Conservation Active (Sensibilité physique)
352,BeniBousera Peridotitic Complex ,PT,Rif,Tanger-Tétouan-Al Hoceïma,35.52732169189336,-5.194990926733846,513.1428833007812,8.212812423706055,232.3250732421875,10883.9052734375,0.0,10.0,,25.0,40.0,40.0,0.0,0.0,Easy,Difficult,0.7093,Easy,True,4.66,1.82,1.9,0,Préservation Absolue (Sanctuaire)
353,Talambote bad lands ,G,Rif,Tanger-Tétouan-Al Hoceïma,35.26757228863778,-5.2099195120724495,986.403076171875,5.660786151885986,209.4752349853516,19382.6015625,3783.313720703125,15.0,,32.0,40.0,40.0,1183.432,1183.432,Easy,Difficult,0.6846,Easy,True,4.36,4.2,3.01,3,Promotion Éducative (Grand Public)
354,Talambote Thrusting,SG,Rif,Tanger-Tétouan-Al Hoceïma,35.27923536008803,-5.217673993338394,965.8265380859376,4.562334537506104,180.96875,17966.15234375,3313.609619140625,8.0,3.0,,40.0,40.0,1183.432,0.0,Easy,Difficult,0.7342,Easy,True,3.21,4.17,3.28,3,Promotion Éducative (Grand Public)
355,Akchour landslide ,SG,Rif,Tanger-Tétouan-Al Hoceïma,35.24979614976434,-5.183912408238101,862.94384765625,6.806554317474365,245.12306213378903,22455.85546875,1183.4320068359375,15.0,3.0,,40.0,40.0,0.0,0.0,Easy,Difficult,0.7029,Easy,True,3.62,3.09,3.93,3,Promotion Éducative (Grand Public)
356,Akchour Gorge,G,Rif,Tanger-Tétouan-Al Hoceïma,35.282857705057545,-5.230557221259563,862.94384765625,4.9001078605651855,209.5753173828125,17733.134765625,2599.881591796875,13.0,,24.0,40.0,40.0,0.0,0.0,Easy,Difficult,0.7728,Easy,True,4.09,3.49,3.79,3,Promotion Éducative (Grand Public)
357,Sidi Abdel Hamid,SG,Rif,Tanger-Tétouan-Al Hoceïma,35.206791028756705,-5.310092889130856,471.9898071289063,4.149006366729736,149.98239135742188,25085.08984375,0.0,8.0,9.0,32.0,40.0,40.0,0.0,0.0,Easy,Moderate,0.8738,Easy,True,2.41,2.32,3.3,2,Conservation Active (Sensibilité physique)
358,Ras Ma Spring ,H,Rif,Tanger-Tétouan-Al Hoceïma,35.21833195677501,-5.318756095870113,533.7193603515625,5.2799391746521,161.56761169433594,23901.65625,1183.4320068359375,15.0,9.0,32.0,40.0,40.0,0.0,0.0,Easy,Moderate,0.8509,Easy,True,3.01,1.58,3.15,2,Conservation Active (Sensibilité physique)
359,BabTazaPhtanites ,GM,Rif,Tanger-Tétouan-Al Hoceïma,35.2793230292996,-5.442327293994906,471.9898071289063,1.2450677156448364,133.69613647460938,16782.720703125,1183.4320068359375,11.0,,,40.0,40.0,1183.432,0.0,Easy,Difficult,0.8069,Easy,True,4.31,2.69,2.15,0,Préservation Absolue (Sanctuaire)
360,Bouhala Landslice,G,Rif,Tanger-Tétouan-Al Hoceïma,35.313233448135364,-5.438441306152264,780.6377563476562,9.50128173828125,288.9940490722656,18199.169921875,3313.609619140625,8.0,,24.0,40.0,40.0,3742.3406,0.0,Moderate,Difficult,0.4637,Moderate,True,2.44,2.83,2.67,4,Promotion Géotouristique Locale
