Excel_Row_Index,Geosite_Name,Geosite_Type,Geological_Domain,Administrative_Region,Latitude_WGS84,Longitude_WGS84,Elevation_m,Slope_deg,Ruggedness,Dist_to_Dam_m,Dist_to_River_m,LULC_Class,Soil_Class,Geology_Class,Domain_Geosite_Count,Region_Geosite_Count,Dist_to_Highway_m,Dist_to_Piste_m,Accessibility,Accessibility_v1,Fuzzy_Accessibility_Score,Fuzzy_Accessibility_Category,Is_Inside_Boundary,V_sci,V_vuln,V_geo,Cluster_ID,Management_Profile
634,Guigou valley,G&St,Middle Atlas,Béni Mellal-Khénifra,33.40472222222222,-4.721111111111111,965.8265380859376,2.7823052406311035,91.82048034667967,6627.21923828125,1656.8048095703125,10.0,7.0,71.0,34.0,109.0,0.0,0.0,Easy,,0.9375,Easy,False,4.72,2.72,2.7,4,Promotion Géotouristique Locale
635,Guigou valley,Pt,Middle Atlas,Béni Mellal-Khénifra,33.46083333333333,-4.6725,2138.688720703125,1.2450685501098633,69.2278823852539,1183.4320068359375,1183.4320068359375,10.0,7.0,18.0,34.0,109.0,0.0,0.0,Easy,Easy,0.9548,Easy,False,4.34,1.66,2.0,0,Préservation Absolue (Sanctuaire)
636,Taferdoust,G&I,Middle Atlas,Béni Mellal-Khénifra,33.47361111111111,-4.654444444444445,2159.265380859375,3.5613043308258057,98.24967956542967,1183.4320068359375,2366.864013671875,10.0,7.0,18.0,34.0,109.0,0.0,0.0,Easy,Moderate,0.9299,Easy,False,3.13,3.44,3.61,2,Conservation Active (Sensibilité physique)
637,Taghrout,"G,St&SG",Middle Atlas,Béni Mellal-Khénifra,33.48305555555556,-4.6075,2138.688720703125,2.754391431808472,91.82048034667967,4970.4140625,0.0,10.0,,18.0,34.0,109.0,0.0,0.0,Easy,Moderate,0.9376,Easy,False,2.63,3.58,3.31,2,Conservation Active (Sensibilité physique)
638,Anchrif,PL,Middle Atlas,Béni Mellal-Khénifra,33.48222222222223,-4.61888888888889,2200.41845703125,3.3971967697143555,95.29690551757812,4256.6865234375,0.0,10.0,,18.0,34.0,109.0,1183.432,0.0,Easy,Moderate,0.831,Easy,False,4.04,2.98,2.04,4,Promotion Géotouristique Locale
639,Skoura,"H,S&G",Middle Atlas,Béni Mellal-Khénifra,33.51611111111111,-4.539722222222222,2076.959228515625,5.587290287017822,91.6515121459961,11826.9814453125,1183.4320068359375,10.0,,,34.0,109.0,0.0,0.0,Easy,Moderate,0.9233,Easy,False,3.46,3.61,2.68,2,Conservation Active (Sensibilité physique)
640,Tadaout,St,Middle Atlas,Béni Mellal-Khénifra,33.51916666666666,-4.505555555555556,2035.80615234375,7.445967197418213,117.22201538085938,14656.2119140625,2366.864013671875,10.0,7.0,71.0,34.0,109.0,0.0,1183.432,Easy,Moderate,0.8891,Easy,False,2.69,2.78,4.44,2,Conservation Active (Sensibilité physique)
641,Tizi-n-Issoulitene,SG,Middle Atlas,Béni Mellal-Khénifra,33.49916666666667,-4.458055555555556,1974.0765380859373,6.709708213806152,130.82908630371094,17500.1171875,2366.864013671875,10.0,7.0,14.0,34.0,109.0,0.0,1183.432,Easy,Moderate,0.8813,Easy,False,3.59,2.87,2.57,1,Préservation Passive (Accès difficile)
642,Mohammed Azeroual,PL,Middle Atlas,Béni Mellal-Khénifra,33.49861111111111,-4.468888888888889,1932.9234619140625,4.7310404777526855,117.2273406982422,16316.6865234375,1656.8048095703125,13.0,7.0,14.0,34.0,109.0,0.0,0.0,Easy,Moderate,0.9085,Easy,False,2.48,2.58,2.31,2,Conservation Active (Sensibilité physique)
643,El Mers,PL&I,Middle Atlas,Béni Mellal-Khénifra,33.44444444444444,-4.45,1932.9234619140625,1.4195290803909302,39.679969787597656,17984.498046875,2366.864013671875,10.0,7.0,,34.0,109.0,0.0,0.0,Easy,Easy,0.9644,Easy,False,4.58,1.38,3.27,0,Préservation Absolue (Sanctuaire)
658,"Ain Tamda,  Zaouit Cheikh city","K,H,C&A",Middle Atlas,Béni Mellal-Khénifra,32.64057778,-5.91269444,1974.0765380859373,1.795358180999756,146.7736358642578,6856.568359375,1656.8048095703125,13.0,9.0,71.0,34.0,109.0,0.0,0.0,Easy,Moderate,0.8877,Easy,True,3.02,1.62,4.66,1,Préservation Passive (Accès difficile)
659,"Sources d’Ouchrah, Tagzirte","G,K,H,E,C&R",Middle Atlas,Béni Mellal-Khénifra,32.42897599,-6.170837578,1253.89794921875,4.449705600738525,113.60017395019533,1183.4320068359375,1183.4320068359375,8.0,9.0,69.0,34.0,109.0,1183.432,0.0,Easy,Moderate,0.8138,Easy,True,3.99,1.39,2.58,0,Préservation Absolue (Sanctuaire)
660,"Jbel Taçmit, Foum El Ancer","H,K&C",Middle Atlas,Béni Mellal-Khénifra,32.29302956,-6.214958909,2220.994873046875,7.450040340423584,700.0162353515625,5917.16015625,0.0,11.0,9.0,71.0,34.0,109.0,5292.4688,1183.432,Difficult,Difficult,0.1463,Difficult,True,3.15,3.21,3.78,3,Promotion Éducative (Grand Public)
667,Massive oncolitic limestones of Fm BIII ( beginning of Middle-Upper regression),PL,Central High Atlas,Béni Mellal-Khénifra,32.106411111111115,-6.451858333333334,2138.688720703125,1.837981343269348,47.18050384521485,13483.7861328125,1656.8048095703125,10.0,9.0,71.0,119.0,109.0,0.0,0.0,Easy,Easy,0.961,Easy,True,3.65,2.24,4.03,1,Préservation Passive (Accès difficile)
669,Passage of the marine carbonate deposits from FmBIII to the red layers (Middle and Upper Jurassic regression),S,Central High Atlas,Béni Mellal-Khénifra,32.106902777777776,-6.447197222222222,2138.688720703125,0.3937810659408569,80.4953384399414,12770.05859375,1183.4320068359375,10.0,9.0,71.0,119.0,109.0,0.0,1183.432,Easy,Easy,0.9516,Easy,True,3.71,2.83,2.57,1,Préservation Passive (Accès difficile)
672,The first basalt flow (the major effusive event of Middle Jurassic),St,Central High Atlas,Béni Mellal-Khénifra,32.11295555555556,-6.4165833333333335,1850.6173095703125,7.979712963104248,153.17474365234375,11582.958984375,1183.4320068359375,13.0,9.0,71.0,119.0,109.0,0.0,1673.6256,Easy,Moderate,0.8419,Easy,True,2.84,4.02,3.94,2,Conservation Active (Sensibilité physique)
677,Mio-Pliocene alluvial terraces,H,Central High Atlas,Béni Mellal-Khénifra,32.13302222222222,-6.300258333333333,965.8265380859376,2.7823052406311035,91.82048034667967,8284.0244140625,0.0,8.0,9.0,71.0,119.0,109.0,0.0,1183.432,Easy,,0.9375,Easy,True,4.73,2.05,2.93,0,Préservation Absolue (Sanctuaire)
690,  Deep gorges in Fm BIII limestones from the Assif Assemssil river ,,Central High Atlas,Béni Mellal-Khénifra,32.08027777777778,-6.46,2159.265380859375,1.594300627708435,68.78589630126953,16313.0166015625,1183.4320068359375,10.0,9.0,71.0,119.0,109.0,2366.864,0.0,Easy,Moderate,0.7073,Easy,True,4.26,2.53,3.67,0,Préservation Absolue (Sanctuaire)
693,Well-distinguished fault making contact between the Fm m. BIII & the Guettioua Fm,St,Central High Atlas,Béni Mellal-Khénifra,32.07277777777778,-6.445277777777778,2179.841796875,2.5198428630828857,91.65424346923828,15599.2890625,0.0,10.0,9.0,71.0,119.0,109.0,2646.2344,0.0,Easy,Moderate,0.6959,Easy,True,4.65,3.57,3.67,4,Promotion Géotouristique Locale
696,Spring of Ain Asserdoune,"H,K&R",Central High Atlas,Béni Mellal-Khénifra,32.38333333333333,-5.916666666666667,965.8265380859376,2.7823052406311035,91.82048034667967,4970.4140625,1183.4320068359375,4.0,9.0,8.0,119.0,109.0,4879.415,0.0,Easy,,0.6951,Easy,True,5.0,1.99,4.3,0,Préservation Absolue (Sanctuaire)
739,Fairy chimneys of Assamar,G,Central High Atlas,Béni Mellal-Khénifra,32.00416666666666,-0.1999999999999997,965.8265380859376,2.7823052406311035,91.82048034667967,16782.720703125,1183.4320068359375,,,,119.0,109.0,94533.92,91614.76,Difficult,,0.0,Difficult,False,3.83,1.53,2.15,3,Promotion Éducative (Grand Public)
