Locality_ID,Geosite_Name,Region,Reference,Title
loc_01184,Continental uplift & coastal erosion,Eddakhla-Oued Eddahab,"Saddiqi et al., 2015 (In Errami et al., 2015)",Recommended Geoheritage Trails in Southern Morocco: A 3 Ga Record Between the Sahara Desert and the Atlantic Ocean
loc_01185,Artesian well,Eddakhla-Oued Eddahab,"Saddiqi et al., 2015 (In Errami et al., 2015)",Recommended Geoheritage Trails in Southern Morocco: A 3 Ga Record Between the Sahara Desert and the Atlantic Ocean
loc_01186,Marine fossils & phosphate genesis,Eddakhla-Oued Eddahab,"Saddiqi et al., 2015 (In Errami et al., 2015)",Recommended Geoheritage Trails in Southern Morocco: A 3 Ga Record Between the Sahara Desert and the Atlantic Ocean
loc_01187,Continental fossils & sedimentaion,Eddakhla-Oued Eddahab,"Saddiqi et al., 2015 (In Errami et al., 2015)",Recommended Geoheritage Trails in Southern Morocco: A 3 Ga Record Between the Sahara Desert and the Atlantic Ocean
loc_01188,Continental sedimentation & unconformity,Eddakhla-Oued Eddahab,"Saddiqi et al., 2015 (In Errami et al., 2015)",Recommended Geoheritage Trails in Southern Morocco: A 3 Ga Record Between the Sahara Desert and the Atlantic Ocean
loc_01189,Metagabbros,Eddakhla-Oued Eddahab,"Saddiqi et al., 2015 (In Errami et al., 2015)",Recommended Geoheritage Trails in Southern Morocco: A 3 Ga Record Between the Sahara Desert and the Atlantic Ocean
loc_01190,Orthogenesis & dyke and pluton intrusions,Eddakhla-Oued Eddahab,"Saddiqi et al., 2015 (In Errami et al., 2015)",Recommended Geoheritage Trails in Southern Morocco: A 3 Ga Record Between the Sahara Desert and the Atlantic Ocean
loc_01191,Migmatites & deep petrogenesis,Eddakhla-Oued Eddahab,"Saddiqi et al., 2015 (In Errami et al., 2015)",Recommended Geoheritage Trails in Southern Morocco: A 3 Ga Record Between the Sahara Desert and the Atlantic Ocean
loc_01192,Upper Ordovician glaciation & unconformity,Eddakhla-Oued Eddahab,"Saddiqi et al., 2015 (In Errami et al., 2015)",Recommended Geoheritage Trails in Southern Morocco: A 3 Ga Record Between the Sahara Desert and the Atlantic Ocean
loc_01193,Nappe kinematics & metapelites,Eddakhla-Oued Eddahab,"Saddiqi et al., 2015 (In Errami et al., 2015)",Recommended Geoheritage Trails in Southern Morocco: A 3 Ga Record Between the Sahara Desert and the Atlantic Ocean
loc_01194,Ouled Abdoun,Béni Mellal-Khénifra,"Noubhani, 2015 (In Errami et al., 2015)",Late Cretaceous and Lower Paleogene Moroccan Phosphates: Geotourism Opportunities
loc_01195,Gantour,Marrakech-Safi,"Noubhani, 2015 (In Errami et al., 2015)",Late Cretaceous and Lower Paleogene Moroccan Phosphates: Geotourism Opportunities
loc_01196,Meskala,Marrakech-Safi,"Noubhani, 2015 (In Errami et al., 2015)",Late Cretaceous and Lower Paleogene Moroccan Phosphates: Geotourism Opportunities
loc_01197,Souss,Souss-Massa,"Noubhani, 2015 (In Errami et al., 2015)",Late Cretaceous and Lower Paleogene Moroccan Phosphates: Geotourism Opportunities
loc_01198,Oued Eddahab,Laayoune-Sakia El Hamra,"Noubhani, 2015 (In Errami et al., 2015)",Late Cretaceous and Lower Paleogene Moroccan Phosphates: Geotourism Opportunities
loc_01199,The lagoon of Oualidia,Marrakech-Safi,El Hamidy et al.2025,"The geosites of Safi province (Marrakech-Safi region, Morocco): Inventory and assessment for geoconservation, geotourism, geoeducation, geoparks, and local sustainable development"
loc_01200,Marine fauna of the lower limestone,Marrakech-Safi,El Hamidy et al.2025,"Proposed geo-educational activities at the Sidi Bouzid geosite, Safi Province, Marrakech-Safi region, Morocco"
loc_01201,Yellow dolomite lower limestone Contact,Marrakech-Safi,El Hamidy et al.2025,"Proposed geo-educational activities at the Sidi Bouzid geosite, Safi Province, Marrakech-Safi region, Morocco"
loc_01202,Marabout Sidi Bouzid,Marrakech-Safi,El Hamidy et al.2025,"Proposed geo-educational activities at the Sidi Bouzid geosite, Safi Province, Marrakech-Safi region, Morocco"
loc_01203,Toubkal national Park,Marrakech-Safi, Wakass et al.2023,"Geosites of High Atlas of Marrakech (Morocco): Geological Characterization, Accessibility, and Potential Interests for Sustainable Tourism"
loc_01204,Paradoxid Shale,Marrakech-Safi,"Eddifai et al., 2025",Degradation risk of geosites analysis in the Rehamna region (Morocco): Inventory and quantitative assessment
loc_01205,Angular unconformity of Cambrian-Cretaceous,Marrakech-Safi,"Eddifai et al., 2025",Degradation risk of geosites analysis in the Rehamna region (Morocco): Inventory and quantitative assessment
