Excel_Row_Index,Geosite_Name,Geosite_Type,Geological_Domain,Administrative_Region,Latitude_WGS84,Longitude_WGS84,Elevation_m,Slope_deg,Ruggedness,Dist_to_Dam_m,Dist_to_River_m,LULC_Class,Soil_Class,Geology_Class,Domain_Geosite_Count,Region_Geosite_Count,Dist_to_Highway_m,Dist_to_Piste_m,Accessibility,Accessibility_v1,Fuzzy_Accessibility_Score,Fuzzy_Accessibility_Category
62,Tassent ridge,S,Central High Atlas,Draâ-Tafilalet,32.15,-5.55,965.8265380859376,2.7823052406311035,91.82048034667967,15617.6328125,0.0,5.0,7.0,71.0,119.0,105.0,0.0,1673.6256,Easy,,0.9629002611915101,Easy
63,Akhiam cave,G,Central High Atlas,Draâ-Tafilalet,31.958,-5.696,965.8265380859376,2.7823052406311035,91.82048034667967,11349.94140625,0.0,5.0,9.0,71.0,119.0,105.0,5292.4688,1183.432,Difficult,,0.23583556376005047,Difficult
64,The cliff granaries of Aoujgal   ,S,Central High Atlas,Béni Mellal-Khénifra,32.0,-6.333333333333333,965.8265380859376,2.7823052406311035,91.82048034667967,10170.177734375,0.0,11.0,9.0,71.0,119.0,109.0,8284.024,0.0,Moderate,,0.7139644588793925,Easy
82, Collective granary of Sidi Moussa,C,Central High Atlas,Béni Mellal-Khénifra,31.33333333333333,-5.333333333333333,1541.9693603515625,6.9960784912109375,167.8853759765625,23184.26171875,2366.864013671875,5.0,3.0,10.0,119.0,109.0,3550.296,0.0,Moderate,Difficult,0.6388976113973766,Easy
83,"Granary, Ighrem",C,Central High Atlas,Béni Mellal-Khénifra,32.666666666666664,-7.333333333333333,369.1071472167969,0.5568816661834717,14.160905838012695,1656.8048095703125,2366.864013671875,10.0,5.0,14.0,119.0,109.0,0.0,0.0,Easy,Easy,0.9850395525276237,Easy
88,Archaeoctic limestone,PL&S,Jbilet Massif,Marrakech-Saf,31.875,-8.866666666666667,327.9540710449219,0.3937802612781524,16.94822120666504,7100.591796875,1183.4320068359375,5.0,8.0,8.0,41.0,41.0,1183.432,0.0,Moderate,Easy,0.8776759411798494,Easy
97,Sidi Bouzid escarpment,"S,St&PL",Meseta,Marrakech-Safi,32.30027777777777,-9.251111111111111,163.3418426513672,1.3409453630447388,36.214691162109375,14667.2197265625,4256.6865234375,4.0,3.0,45.0,41.0,41.0,0.0,1183.432,Easy,Easy,0.9815832647972592,Easy
98,Chaâba valley,"S,S&PL",Meseta,Marrakech-Safi,32.30277777777778,-9.230833333333331,225.0714263916016,0.6349368691444397,23.27971839904785,12300.35546875,3550.2958984375,15.0,3.0,45.0,41.0,41.0,0.0,0.0,Easy,Easy,0.9841061797721617,Easy
99,Sidi Abderrahmane clayquarry,S/St,Meseta,Marrakech-Safi,32.3325,-9.176666666666666,225.0714263916016,0.3937810063362121,11.639607429504396,7100.591796875,7333.60986328125,15.0,3.0,45.0,41.0,41.0,0.0,0.0,Easy,Easy,0.9854364761795829,Easy
100,Sidi Abderrahmane dam,H,Meseta,Marrakech-Safi,32.323888888888895,-9.180277777777777,204.49490356445312,0.1761063784360885,9.876779556274414,7100.591796875,6150.177734375,4.0,3.0,45.0,41.0,41.0,0.0,0.0,Easy,Easy,0.9858198391231123,Easy
101,Escarpment of Lalla Fatna,"S,PL&St",Meseta,Marrakech-Safi,32.3875,-9.265,101.61224365234376,1.9041863679885864,54.72618103027344,16549.703125,13483.7861328125,13.0,,,41.0,41.0,0.0,0.0,Easy,Easy,0.977415238737948,Easy
102,Cap Beddouza,S/St/G,Meseta,Marrakech-Safi,32.55083333333333,-9.272777777777778,965.8265380859376,2.7823052406311035,91.82048034667967,7333.60986328125,4970.4140625,15.0,5.0,,41.0,41.0,0.0,1183.432,Easy,,0.9629002611915101,Easy
103,El Goraan cave,G,Meseta,Marrakech-Safi,32.5575,-9.254166666666666,122.18877410888672,0.176106259226799,48.428497314453125,4966.74560546875,3313.609619140625,13.0,,69.0,41.0,41.0,0.0,0.0,Easy,Easy,0.9811054668759959,Easy
104,Souira Lgdima,"S,St&G",Meseta,Marrakech-Safi,32.03777777777778,-9.340555555555556,307.3775634765625,4.137856483459473,101.92008209228516,30284.8515625,0.0,4.0,8.0,69.0,41.0,41.0,0.0,0.0,Easy,Moderate,0.953728078412147,Easy
105,Sidi Tiji Gypsum quarry,S&St,Meseta,Marrakech-Safi,32.157777777777774,-8.865277777777777,513.1428833007812,3.5045289993286133,100.51461029052734,6856.568359375,8750.0595703125,10.0,8.0,10.0,41.0,41.0,1183.432,0.0,Moderate,Moderate,0.8521365701835857,Easy
106,Jorf Lihoudi,"S,St&PL",Meseta,Marrakech-Safi,32.18,-9.26,122.18877410888672,1.0710920095443726,33.79560089111328,21538.458984375,4966.74560546875,15.0,3.0,45.0,41.0,41.0,0.0,0.0,Easy,Easy,0.9823021743260469,Easy
107,The lagoon of Oualidia,H,Meseta,Marrakech-Safi,32.73916666666667,-9.036944444444444,122.18877410888672,0.3937808871269226,15.48575496673584,14900.2373046875,15599.2890625,4.0,3.0,69.0,41.0,41.0,1183.432,1183.432,Moderate,Easy,0.8777881333373883,Easy
117,Lake Afourgagh- charophytes tufas & gyrogonites,"SG,H & PL",Tabular Middle Atlas,Draâ-Tafilalet,33.61666666666667,-4.883333333333333,1830.040771484375,1.6609245538711548,69.46762084960938,16313.0166015625,1656.8048095703125,15.0,9.0,,34.0,105.0,1183.432,0.0,Moderate,Moderate,0.8678497478104291,Easy
118,Lake Aoua (Dayet Aoua),SG&H,Tabular Middle Atlas,Draâ-Tafilalet,33.65555555555555,-5.333333333333333,1480.23974609375,1.2325599193572998,68.73500061035156,18916.568359375,4733.72802734375,11.0,3.0,56.0,34.0,105.0,2366.864,1183.432,Moderate,Moderate,0.28023206042727133,Moderate
119,Lake Ifrah (Dayet Ifrah),SG&H,Tabular Middle Atlas,Draâ-Tafilalet,33.5625,-4.916666666666667,1871.19384765625,0.7260700464248657,70.8307876586914,11116.9228515625,1183.4320068359375,11.0,9.0,58.0,34.0,105.0,1183.432,1183.432,Moderate,Moderate,0.8686707065879156,Easy
120,Lake Aguelmame Sidi Ali,SG&H,Tabular Middle Atlas,Draâ-Tafilalet,33.07611111111112,-5.003611111111111,1830.040771484375,2.393920660018921,48.87739944458008,4256.6865234375,1183.4320068359375,10.0,6.0,,34.0,105.0,1673.6256,1183.432,Moderate,Easy,0.6824897011346692,Easy
149,Lower Devonian quartzite bars of Bou Trou-Al Aççama,"S,St&G",Central Hight Atlas,Béni Mellal-Khénifra,33.367333333333335,-5.490166666666667,1541.9693603515625,5.096649646759033,117.88977813720705,8284.0244140625,1656.8048095703125,6.0,9.0,,119.0,109.0,1673.6256,0.0,Moderate,Difficult,0.6959190845012024,Easy
150,Lower Devonian paleosol of Bou Trou-Al Aççama,S&St,Central Hight Atlas,Béni Mellal-Khénifra,33.35933333333333,-5.491833333333333,1665.4285888671875,4.435853958129883,100.2172622680664,7100.591796875,2599.881591796875,13.0,9.0,19.0,119.0,109.0,2646.2344,0.0,Moderate,Moderate,0.7072753525994532,Easy
