Excel_Row_Index,Geosite_Name,Geosite_Type,Geological_Domain,Administrative_Region,Latitude_WGS84,Longitude_WGS84,Coordinate_Extraction_Method
151,Lower Devonian dwarf brachiopods of Bou Trou Al Aççama,PL,Central Hight Atlas,Beni Mellal-Khenifra,33.3595,-5.490833333333334,DMS
152,Emsien crinoids grassland of Bab Al Ari,PL&S,Central Hight Atlas,Beni Mellal-Khenifra,33.4605,-5.1865,DMS
153,Givetian calciturbidites of Ben Aarab,"S,S&PL",Central Hight Atlas,Beni Mellal-Khenifra,33.501333333333335,-5.4015,DMS
154,Givetian-Famennian paleolapiaz of Bab Al Ari,PL&S,Central Hight Atlas,Beni Mellal-Khenifra,33.4605,-5.1865,DMS
155,Frasnian-Famennian Kellwasser black limestones of Bou Ounabdou,"S,St&PL",Central Hight Atlas,Beni Mellal-Khenifra,33.142833333333336,-5.518,DMS
156,Famennian Griottes limestones of Bou Ounabdou,"S,St&PL",Central Hight Atlas,Beni Mellal-Khenifra,33.14266666666666,-5.5175,DMS
157,Famennian Zebra griottes limestones of Ziyar,S&St,Central Hight Atlas,Beni Mellal-Khenifra,33.0425,-5.738666666666667,DMS
158,Arich OuzellaFm,S&PL,The Great Moroccan Atlantic Basin (MAP),Marrakech-Safi,31.142222222222223,-9.707777777777777,Numeric DMS
159,Amsittene Fm,S,The Great Moroccan Atlantic Basin (MAP),Marrakech-Safi,,,No coordinates
160,Id ou Moulid Fm,S&PL,The Great Moroccan Atlantic Basin (MAP),Marrakech-Safi,,,No coordinates
161,Arich Ouzella cave,G,The Great Moroccan Atlantic Basin (MAP),Marrakech-Safi,,,No coordinates
162,Subvertical strata,S,The Great Moroccan Atlantic Basin (MAP),Marrakech-Safi,,,No coordinates
163,Triassic-Quaternary contact,S,The Great Moroccan Atlantic Basin (MAP),Marrakech-Safi,,,No coordinates
164,Quaternary-Jurassic contact,S,The Great Moroccan Atlantic Basin (MAP),Marrakech-Safi,,,No coordinates
165,Fold hinge,S,The Great Moroccan Atlantic Basin (MAP),Marrakech-Safi,,,No coordinates
166,Cretaceous Quaternary contact,S,The Great Moroccan Atlantic Basin (MAP),Marrakech-Safi,,,No coordinates
167,Triple point,S,The Great Moroccan Atlantic Basin (MAP),Marrakech-Safi,,,No coordinates
168,Macrofossils,PL,The Great Moroccan Atlantic Basin (MAP),Marrakech-Safi,,,No coordinates
169,Fossiliferous dunes,PL,The Great Moroccan Atlantic Basin (MAP),Marrakech-Safi,,,No coordinates
170,Folded structure1,S,The Great Moroccan Atlantic Basin (MAP),Marrakech-Safi,,,No coordinates
171,Folded structure 2,S,The Great Moroccan Atlantic Basin (MAP),Marrakech-Safi,,,No coordinates
172,Folded structure 3,S,The Great Moroccan Atlantic Basin (MAP),Marrakech-Safi,,,No coordinates
173,Amsittene folded structures,S,The Great Moroccan Atlantic Basin (MAP),Marrakech-Safi,,,No coordinates
174,Alluvial cone,S,The Great Moroccan Atlantic Basin (MAP),Marrakech-Safi,,,No coordinates
175,Ammonitico-rosso of Taffert,PL,Middle Atlas,Fès-Meknès,,,No coordinates
176,Volcano of Bou-Iblane,V,Middle Atlas,Fès-Meknès,,,No coordinates
177,Reefs of Ich Maalam,PL,Middle Atlas,Fès-Meknès,,,No coordinates
178,Cornish limestones of Serhla,S,Middle Atlas,Fès-Meknès,,,No coordinates
179,Hayane canyon,SG,Middle Atlas,Fès-Meknès,,,No coordinates
180,Askour Cave,K,Middle Atlas,Fès-Meknès,,,No coordinates
181,Tamezyidan Rbi,K,Middle Atlas,Fès-Meknès,,,No coordinates
182,Guelta Tameda,K,Middle Atlas,Fès-Meknès,,,No coordinates
183,Source Oued el Bared,S,Middle Atlas,Fès-Meknès,,,No coordinates
184,Oued el Bared cave,K,Middle Atlas,Fès-Meknès,,,No coordinates
185,Discordance Ribata lKhayr,SG,Middle Atlas,Fès-Meknès,,,No coordinates
186,Tizi Bou-Zaabel,SG,Middle Atlas,Fès-Meknès,,,No coordinates
187,Bou-Iblane-Issouka,SG,Middle Atlas,Fès-Meknès,,,No coordinates
188,Periclinal Taffajight,SG,Middle Atlas,Fès-Meknès,,,No coordinates
189,Malachites of Talzemt,M,Middle Atlas,Fès-Meknès,,,No coordinates
190,Discordance Jbel Abdous,SG,Middle Atlas,Fès-Meknès,,,No coordinates
191,Mallal cascade,H,Middle Atlas,Fès-Meknès,,,No coordinates
192,Jbel el Kalaa,SG,Middle Atlas,Fès-Meknès,,,No coordinates
193,Tmourhout valley,SG,Middle Atlas,Fès-Meknès,,,No coordinates
194,Bizi canyon,SG,Middle Atlas,Fès-Meknès,,,No coordinates
195, Fault Tmourhout,S,Middle Atlas,Fès-Meknès,,,No coordinates
196,Cascade Sahbab,H,Middle Atlas,Fès-Meknès,,,No coordinates
197,Tmourhout Cascade,H,Middle Atlas,Fès-Meknès,,,No coordinates
198,Synclinal Zloul,SG,Middle Atlas,Fès-Meknès,,,No coordinates
199,Ain Sebou,H,Middle Atlas,Fès-Meknès,,,No coordinates
200,Synclinal Tilmirat,SG,Middle Atlas,Fès-Meknès,,,No coordinates
201,Ammonitico-rosso of Zra,PL,Middle Atlas,Fès-Meknès,,,No coordinates
202,Aghram Amellal reefs,PL,Middle Atlas,Fès-Meknès,,,No coordinates
203,Jider canyon,SG,Middle Atlas,Fès-Meknès,,,No coordinates
204,Chiker polje,K&S,Middle Atlas,Fès-Meknès,34.118611111111115,-4.040555555555556,Numeric DMS
205,Chiker cave,K,Middle Atlas,Fès-Meknès,34.12166666666667,-4.038333333333333,Numeric DMS
206,Dolines of Ademame,K,Middle Atlas,Fès-Meknès,34.04361111111111,-4.095,Numeric DMS
207,Ras El Oued cave,K,Middle Atlas,Fès-Meknès,33.95916666666667,-4.0,Numeric DMS
208,Chaâra lapiaz,K,Middle Atlas,Fès-Meknès,33.97361111111111,-4.224722222222223,Numeric DMS
209, Chaâra cave,K,Middle Atlas,Fès-Meknès,33.95583333333334,-4.246111111111111,Numeric DMS
210,GueltaTameda Lake,K,Middle Atlas,Fès-Meknès,33.81777777777778,-4.081666666666666,Numeric DMS
211,Taffert canyons,K,Middle Atlas,Fès-Meknès,33.72138888888889,-4.2275,Numeric DMS
212, Aïn Sebou,K,Middle Atlas,Fès-Meknès,33.73694444444445,-4.532777777777778,Numeric DMS
213,Addan onion peels,G,Anti-Atlas ,Souss-Massa,29.213335,-8.203033,Numeric DMS
214,Akka badlands,G,Anti-Atlas ,Souss-Massa,29.483864,-8.295043,Numeric DMS
215,Tata hearts,G,Anti-Atlas ,Souss-Massa,29.483864,-8.295043,Numeric DMS
216,Imitek Karsts,G,Anti-Atlas ,Souss-Massa,29.603338,-8.251098,Numeric DMS
217,Issafenflat-irons,G,Anti-Atlas ,Souss-Massa,29.854611,-8.533996,Numeric DMS
218,Tadakoust Pyramids,G,Anti-Atlas ,Souss-Massa,29.270107,-8.678496,Numeric DMS
219,Issafen chevrons,G,Anti-Atlas ,Souss-Massa,29.850649,-8.512572,Numeric DMS
220,Ait Ouabelli chasms,G,Anti-Atlas ,Souss-Massa,29.213335,-8.203033,Numeric DMS
221,Tagmout mask,G,Anti-Atlas ,Souss-Massa,29.270107,-8.678496,Numeric DMS
222,Alougoum Pyramid,G,Anti-Atlas ,Souss-Massa,29.442398,-8.264208,Numeric DMS
223,Messalite cave,G,Anti-Atlas ,Souss-Massa,29.442398,-8.264208,Numeric DMS
224,Tamzrart Petrified waterfall,G,Anti-Atlas ,Souss-Massa,29.339495,-8.52788,Numeric DMS
225,Foum Zguid water gap,G,Anti-Atlas ,Souss-Massa,30.140782,-6.877585,Numeric DMS
226,Tissint water gap,G,Anti-Atlas ,Souss-Massa,29.91642,-7.374716,Numeric DMS
227,Sidi Rezzoug water gap,G,Anti-Atlas ,Souss-Massa,29.748743,-7.659674,Numeric DMS
