Geological domain,Administrative region,Reference,Title,Evaluated geosites,Geosite's type,Coordinates,,Center coordinates,,Methodology,Comment,Legend,,,,,,,,,,,,,,,,,,,,
,,,,Ibaqualliwn Lamellibranches of Tizi-n-Tighist,PL,"31°43'59.12""N","6°19'28.75""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,, Jbel Azoukri Ait Attab synclinal (1),S,"31°45'25.88""N","6°14'54.10""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ait Attab synclinal, Bougal (Taghia)",S,"31°47'13.05""N","6° 4'21.59""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"The Bin El Ouidane dam ""Chocolate Marls"" ",S,"32° 6'31.62""N","6°26'9.61""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,The Ouzoud waterfalls ,G&H,"32° 0'54.04""N","6°43'10.81""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cliff of Ait Abdi,SG,"31°37'0.33""N","7°21'0.11""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,The “Cathedral” Mastfrane,R,"31°58'50.59""N","6° 8'14.56""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Talmst Ride,SG,"31°54'24.06""N","6° 9'17.49""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Dinosaur footprints,PL,"31°39'35.96""N","6°23'7.87""W",,,,,,,,,,,,,,,,,,,,,,,,,
Central High Atlas,Béni Mellal-Khénifra,Elkaichi et al.2023,"Evaluation of Geotouristic Station Suitability Using GIS‑Based Multi‑criteria Decision Analysis: a Case Study of the M’Goun UNESCO Geopark, High Atlas (Morocco)", Collective granary of Sidi Moussa,C,"32°23'56.30""N","6° 1'38.49""W",31° 20′ 0″ N,5° 20′ 0″ W,"Pereira et al. 2013 & Saaty,1980",Cordonnées De;;; à ?,,,,,,,,,,,,,,,,,,,,,
,,,,"Granary, Ighrem",C,"32°12'14.48""N","6°36'12.46""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Footprints of the carnivorous dinosaur (Tridactyl),PL,"32°11'46.00""N","6°34'57.00""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Herbivorous dinosaur footprints,PL,"32° 6'22.00""N","6°30'36.09""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Izourar plateaus ,SG&S,"31°57'7.22""N","6°33'26.10""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Rock engravings of Tizi-n-Tighist,En,"32° 0'35.89""N","6°43'9.20""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"31°59'41.26""N","6° 4'16.36""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"31°57'42.26""N","6° 8'53.64""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"31°58'35.98""N","6°14'54.42""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"31°50'15.83""N","6° 6'32.45""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"31°47'54.85""N","6°12'32.66""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"31°43'36.01""N","6°58'6.00""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"31°43'20.24""N","6°52'59.55""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"31°42'48.62""N","6°46'18.37""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"31°41'8.90""N","6°43'55.20""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"31°36'25.00""N","6°36'24.05""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"31°39'36.63""N","6°26'41.59""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"31°44'32.87""N","6°18'35.66""W",,,,,,,,,,,,,,,,,,,,,,,,,
