Geological domain,Administrative region,Reference,Title,Evaluated geosites,Geosite's type,Coordinates,,Center coordinates,,Methodology,Comment,Legend,,,,,,,,,,,,,,,,,,,,
,,,,Ain Tifratine,,33°11′54.35″N,5°11′45.70″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ain Timedrine,,33°44′56.05″N,4°33′2.76″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ain Vital,,33°32′47.18″N,5°6′43.28″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ain Zerrouka,,33°32′38.07″N,5°5′39.92″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aioun Imettassene,,33°29′57.84″N,5°4′43.75″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aioun Ras El Ma,,33°27′55.05″N,5°8′54.82″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ait Athia,,33°22′36.32″N,4°25′51.00″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Amane Imellaline (Ain Joua),,33°39′15.49″N,4°8′38.36″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Anzar Oufounas,,33°9′52.09″N,5°8′42.86″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cascade d’Aït smail,,33°52′55.66″N,4°2′59.59″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cascade des vierges,,33°31′53.20″N,5°6′32.43″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cascade d’Imouzar Marmoucha,,33°28′0.88″N,4°17′44.16″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cascade d’Imouzer Kandar,,33°43′5.50″N,5°0′51.64″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cascade Hawai,,33°12′2.55″N,5°23′21.24″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cascade Ras El Ma,,34°8′41.53″N,4°0′37.06″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cascade Sefrou,,33°49′41.68″N,4°50′58.44″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cascade Sidi Bou Shaq,,33°3′1.11″N,5°16′17.90″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cascade Skoura,,33°30′57.66″N,4°32′15.83″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cascade Tagoute,,33°29′1.40″N,4°36′37.44″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Dayet Aoua,,33°39′17.20″N,5°2′28.10″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Dayet El Jerane,,33°33′49.97″N,4°59′49.97″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Dayet Hachlaf,,33°33′3.41″N,4°59′58.69″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Dayet Iffer,,33°36′24.25″N,4°54′28.39″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Dayet Ifrah,,33°33′35″N,4°55′48″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Dayet Lakbira,,33°27′31.86″N,4°51′51.83″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Dayet Maasker,,33°38′31.25″N,5°5′54.30″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Dayet Moucherkour,,33°30′10.41″N,5°6′24.75″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Dayet Tichout,,33°30′35.62″N,5°8′13.44″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Guelta Tameda,,33°49′42.53″N,4°4′44.24″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ifri Ou Berid,,33°15′10.76″N,5°15′31.90″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Lac Afnourir,,33°16′49.40″N,5°15′10.90″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Lac Afourgagh,,33°36′49.19″N,4°52′41.48″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Lac Agoulmame,,33°39′54.14″N,4°51′7.74″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Lac Ajdir,,32°57′46.70″N,5°26′5.30″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Lac Tighboula-Laachoure,,33°10′33.18″N,5°5′56.19″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Oum Er-Rbiaa,,33°3′5.72″N,5°24′43.73″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ouoouchène,,33°24′30.82″N,4°54′42.40″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Rabiaa-Bitit,,33°33′28.93″N,5°13′56.10″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ras Adrar Izem,,33°11′40.08″N,5°9′41.64″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ras El Ain,,33°28′21.96″N,4°16′43.99″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ras El Ma,,34°8′41.53″N,4°0′37.06″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Résurgence d’Ademame,,34°1′53.52″N,4°9′17.60″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Sabhab,,33°53′54.62″N,4°2′43.71″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Sidi Yahia,,33°44′26.79″N,4°11′32.38″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tabhirte,,33°57′40.58″N,4°14′49.95″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Taguelmant Yéj,,32°58′20.78″N,5°34′8.59″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tibakhbakhine,,34°6′8.48″N,4°0′14.48″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tiguelmamine (El Hajeb),,33°44′54.03″N,5°14′2.82″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tiguelmamines,,32°54′20.78″N,5°20′35.42″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tit-Zill,,33°20′3.24″N,4°53′6.56″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Zaouiat Ifrane,,33°11′38.09″N,5°25′9.00″W,,,,,,,,,,,,,,,,,,,,,,,,,
Middle Atlas,Beni Mellal-Khenifra,"Baadi, 2023e",Fluvial Heritage of the Middle Atlas (Morocco): An Essential Element for Regional Sustainable Development,Aghbal,,33°2′41.85″N,5°28′51.10″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aït Ou Hammou,,33°3′27.30″N,5°22′44.59″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Assaka,,33°28′25.49″N,4°38′19.29″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Bizi,,33°57′37.32″N,3°57′43.74″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,El Aouinate,,33°35′55.26″N,4°46′28.40″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,El Herahir,,33°38′29.98″N,4°59′28.23″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Fellat,,33°3′2.69″N,5°16′50.26″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Gorge d’Issouka,,33°26′58.14″N,4°20′17.37″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Gorges d’El Mahssere,,33°32′30.59″N,4°24′36.70″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Hayane,,33°43′19.61″N,4°13′37.40″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Issoumat,,33°27′48.13”N,4°40′56.14”W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jbel Lbghel,,33°28′51.76″N,4°42′56.16″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jider,,33°43′42.55″N,4°14′17.81″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Oudiksou,,33°15′0.02”N,4°50′10.90”W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Qalaa,,33°56′26.84″N,3°59′33.74″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Taferdoust,,33°28′16.86″N,4°39′4.00″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Taffert,,33°44′0.66″N,4°14′21.98″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Taghzout,,33°29′36.62″N,4°44′5.38″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tazemmakt,,33°10′3.61 ″N,5°10′37.41″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Teminte,,33°45′44.03″N,5°8′38.36″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tiguelmamine,,33°46′17.63″N,5°11′45.66″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tijma,,33°29′16.58″N,4°48′23.42″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tmourhout,,33°54′19.99″N,4°1′37.31″W,,,,,,,,,,,,,,,,,,,,,,,,,
Middle Atlas,Beni Mellal-Khenifra,"Baadi and Lebreton, 2023",Exo- and Endokarst of the Middle Atlas (Morocco): From Inventory to Promotion,Ademame,,34°2′57.30″N,4°6′32.47″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aferrane,,33°1′33.60″N,5°27′39.34″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Agouni Izguère,,33°26′19.91″N,4°54′20.99″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Agrane,,34°0′44.09″N,4°8′44.36″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ahoussal,,32°57′51.01″N,5°19′1.12″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ain El Aouda,,34°5′51.68″N,4°1′47.65″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ain Erreha,,34°0′15.91″N,4°12′17.33″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ain Jerjoub,,34°1′49.02″N,4°6′34.00″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ain Kahla,,33°14′8.65″N,5°13′44.13″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ait Ahmed,,33°51′56.68″N,4°12′30.43″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ajdir,,32°57′46.70″N,5°26′5.30″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Al Maarad,,33°0′20.76″N,5°30′3.63″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aoumchach I,,34°1′51.35″N,4°7′50.29″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aoumchach II,,34°1′31.43″N,4°7′12.89″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aven Koul,,33°47′38.28″N,4°29′7.08″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Azegza,,32°59′31.32″N,5°28′17.00″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Bab Bou Idir,,34°4′55.54″N,4°7′2.31″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Bab Tafertest,,34°7′10.42″N,4°1′6.23″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Bir Yala,,33°44′57.10″N,4°8′41.51″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Bled Nertène,,33°17′2.98″N,5°19′11.58″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Bou Hyati,,34°4′46.21″N,4°7′6.46″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Bou Imourdassane,,33°44′19.88″N,4°49′21.33″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Bou Lebrrouj,,33°41′37.27″N,5°11′35.99″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Bou Mennjel,,33°43′41.72″N,5°8′53.89″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Bouslama,,34°5′24.43″N,4°6′48.19″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Chaâra,,33°58′46.31″N,4°13′34.24″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,El Khars,,34°3′13.73″N,4°7′43.83″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,El Malekef,,33°44′28.52″N,4°8′25.65″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,El Oulja,,34°2′6.99″N,4°11′52.25″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,El Qalaâ,,33°55′51.19″N,3°59′27.18″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,El-Malekef,,33°45′29.41″N,4°7′12.84″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Feldi,,33°11′10.33″N,4°57′18.10″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ghar Bied,,34°5′46.01″N,4°1′22.14″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Gouffre aux pigeons,,33°43′48.85″N,4°59′57.70″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Gouffre Friouato,,34°6′16.95″N,4°4′21.10″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Grotte Chaâra,,33°57′20.58″N,4°14′47.67″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Grotte Chiker,,34°7′17.38″N,4°2′18.43″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Grotte El Kalaa,,33°56′18.77″N,4°0′18.20″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ich Maakel I,,34°0′4.18″N,4°3′52.74″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ich Maakel II,,34°0′8.85″N,4°3′55.51″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ich Maakel III,,34°0′14.26″N,4°4′22.12″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Iferaoun,,33°8′43.42″N,5°22′59.85″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ifrah,,33°33′35.08″N,4°55′48.46″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ifrennta,,33°9′24.52″N,5°21′55.12″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ifri Ahnachen,,34°0′59.49″N,4°9′20.50″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ifri Azeroual,,33°50′37.78″N,4°22′58.34″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ifri Broud,,33°41′42.13″N,4°12′42.40″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ifri Ichac,,33°26′22.75″N,4°20′1.63″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ifri Jider,,33°42′6.05″N,4°6′3.81″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ifri Ljahac,,33°37′14.06″N,4°15′3.96″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ifri n′Oudey (gouffre du juif),,33°50′43.47″N,4°24′0.81″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ifri n′Tioutchilt,,33°28′12.14″N,4°13′5.47″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ifri Ou Berrid,,33°15′10.76″N,5°15′31.90″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ifri Ouska,,33°18′6.27″N,5°11′20.22″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ighrenba,,33°11′47.01″N,4°56′2.49″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jbel Aoua,,33°38′50.82″N,5°2′53.35″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kef Admam,,34°1′36.28″N,4°9′8.30″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kef Aïn Hallouf,,34°0′51.29″N,4°9′52.68″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kef Anghara,,33°40′25.92″N,4°11′48.57″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kef Bab Mfraj,,34°5′42.95″N,4°6′40.10″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kef Bou Hayati,,34°5′38.44″N,4°5′54.92″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kef Bou Hayati I,,34°5′49.21″N,4°6′33.58″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kef Bou Hayati II,,34°6′1.96″N,4°6′13.33″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kef dial R′Kam,,33°41′55.28″N,4°6′29.43″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kef El Ahnach,,33°57′20.76″N,4°13′44.61″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kef El Bouk,,34°3′34.61″N,4°7′50.64″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kef El Fiss,,34°4′6.84″N,3°59′58.80″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kef El Hmam,,33°47′50.37″N,4°24′38.89″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kef el Jnoun,,34°1′27.90″N,4°8′59.14″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kef El Ma,,34°5′23.92″N,4°6′31.57″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kef El Mohand,,33°57′26.73″N,4°13′49.36″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kef El Sao,,34°7′49.93″N,4°2′41.51″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kef El Seroual,,33°58′53.93″N,4°13′8.28″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kef Hazar,,34°5′53.95″N,4°2′45.38″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kef Idra,,33°59′27.57″N,4°8′37.40″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kef Izoura,,34°5′38.44″N,4°5′54.92″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kef Kaouane,,33°57′39.77″N,4°14′51.10″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kef Karia,,34°8′35.63″N,4°0′31.23″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kef Maakel El Tahtani,,34°0′29.61″N,4°4′26.82″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kef Meghous,,33°58′0.68″N,4°10′22.59″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kef Targat,,34°1′24.91″N,4°8′22.29″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kef Toumat,,33°50′48.61″N,4°23′34.99″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kef Zaarour,,33°50′45.20″N,4°23′26.77″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kef-El-Mers-Ahmed,,34°4′57.82″N,4°2′43.26″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kef-Nahal-Tikhoubaï,,34°0′16.82″N,4°2′50.81″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kissarite,,33°12′58.18″N,5°21′13.41″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kssouatène,,33°7′40.72″N,5°23′6.35″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Louta,,34°1′36.13″N,4°6′36.35″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Meshoul,,34°3′17.82″N,4°5′53.09″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Meshoul I,,34°3′37.08″N,4°6′26.77″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Mimejad,,32°59′16.20″N,5°15′58.30″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Mirssa,,32°57′8.82″N,5°17′29.48″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Missartène,,32°59′46.88″N,5°26′52.00″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Moutferaoun,,33°38′48.20″N,4°48′35.25″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ouaousseguerna,,33°9′22.69″N,5°25′47.56″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ouiouane,,33°7′37.50″N,5°20′44.30″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ouled-Ayach,,34°2′46.72″N,4°2′14.58″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ounane,,33°9′4.84″N,5°24′29.60″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ouoouchène,,33°24′30.82″N,4°54′42.40″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Poljé Ain El Aouda,,34°6′10.32″N,4°1′58.69″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Poljé Beni Mkoud,,33°52′57.73″N,4°18′6.77″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Poljé Chaâra,,33°58′46.31″N,4°13′34.24″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Poljé Chiker,,34°6′52.56″N,4°2′36.62″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Poljé El Ghar,,33°54′9.40″N,4°16′44.81″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Poljé Kaouane,,33°57′4.94″N,4°16′5.45″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Poljé Laarouch,,33°55′58.87″N,4°15′51.60″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Poljé Madegh,,33°56′50.92″N,4°13′52.93″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ras El Oued (Oued el bared),,33°51′14.36″N,4°0′10.43″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Sidi Amar,,33°43′22.22″N,4°15′40.94″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Sidi Maanar,,33°43′54.18″N,5°1′24.04″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Sidi Majbar,,34°8′41.03″N,4°1′26.17″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Taanzoult,,33°4′10.82″N,5°1′1.71″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Taboughout,,32°56′39.36″N,5°29′2.03″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Taboughout Nord,,32°57′27.05″N,5°29′40.61″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Taffert Est,,33°40′19.91″N,4°9′0.88″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Taffert Nord,,33°40′37.91″N,4°9′25.65″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Taffert Nord-Est,,33°40′31.67″N,4°8′17.48″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Taffert Ouest,,33°40′34.15″N,4°9′56.38″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tahfourt,,33°42′44.87″N,4°10′24.48″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Talghremte,,32°57′54.40″N,5°15′52.12″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Talou Ou Taachat,,33°44′18.28″N,4°14′21.99″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tidrine,,33°29′42.27″N,5°3′55.29″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tifratine,,33°41′40.78″N,5°22′48.08″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tigouyal,,32°58′9.55″N,5°22′27.46″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Timezouine,,34°2′57.83″N,4°6′6.76″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Timezouine,,34°2′35.43″N,4°6′32.67″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tirardine,,33°26′59.66″N,4°21′50.79″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tisfoula,,33°14′40.86″N,5°20′51.93″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tit Azourane,,34°6′1.93″N,4°1′13.46″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tizaraght,,32°57′42.00″N,5°28′17.89″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tizaraght Est,,32°57′22.33″N,5°27′22.90″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tizerghine,,32°58′0.19″N,5°23′52.54″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tlet fam,,34°2′18.82″N,4°5′28.65″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Toughlamte,,34°7′47.29″N,4°2′46.98″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trou Arhelouet,,33°40′21.79″N,4°11′37.54″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trou de Panthère,,33°17′7.52″N,5°13′25.72″W,,,,,,,,,,,,,,,,,,,,,,,,,
Middle Atlas,Fez-Meknes,"Benani et al., 2023","Geomorphological Study of the Endo-Karst of the Middle Atlas as a Geological Heritage to Be Preserved, Case of the Chaara Cave, Province of Taza",Chaara Cave,,33°57′20.22″N,4°14′58.09″W,,,,,,,,,,,,,,,,,,,,,,,,,
Middle Atlas,Beni Mellal-Khenifra,"Baadi and Németh, 2023","Volcanic Landscape of the Middle Atlas: A Representative Heritage of Moroccan Geological History









",Bou-Teguerrouine,,33°16′43.83″N,5°5′41.04″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,El Koudiate,,33°31′10.67″N,5°9′50.90″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jbel Hébri,,33°21′20.38″N,5°9′17.31″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Taiissout,,33°19′11.63″N,5°6′40.02″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Lechmine Aït el Haj,,33°22′53.75″N,5°4′12.41″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Bou-Ibalrhatène,,33°20′21.31″N,5°2′52.56″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Lechmine n’Ikettane,,33°22′34.08″N,5°7′31.46″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Lechmine Izgar,,33°15′51.13″N,5°6′17.54″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ouest Hébri,,33°21′37.69″N,5°8′29.99″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tahbrite,,33°20′46.49″N,5°7′48.73″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Timahdite,,33°13′50.62″N,5°3′59.07″W,,,,,,,,,,,,,,,,,,,,,,,,,
Middle Atlas,Beni Mellal-Khenifra,"Baadi et al., 2023f","The Volcanism of the Plio-Quaternary of Azrou-Timahdite Plateau (Central Middle Atlas, Morocco): Potential for Geotourism Development",Lechmine Ait el Haj,,"33°22'53.18""N","5°17'57.22""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Michlifene,,"33°32'24.25""N","5° 9'19.23""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Lechmine Bou-Ibalrhatène,,"33°20'23.86""N","5° 3'42.06""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ouest Hébri,,"33°21'19.90""N","5° 9'17.41""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Bou-Teguerrouine,,"33°17'12.31""N","5° 5'24.71""",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Outgui,,"33°38'58.09""N","5°14'49.68""",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
