Geological domain,Administrative region,Evaluated geosites,Geosite's type,Coordinates,,Center coordinates,,,,,,Coordonées centrique,,
,,Lake Aoua (Dayet Aoua),SG&H,33°39'20''N,05°20''W,,,,,,,,,
,,Lake Ifrah (Dayet Ifrah),SG&H,33°33'45''N,04°55'' W,,,,,,,,,
,,Lake Aguelmame Sidi Ali,SG&H,33°04'34''N,05°00'13''W,,,,,,,,,
,,Bou Tegrrouine,G,….,….,,,,,,,,,
,,The caldera of the Michliffen,G,….,….,,,,,,,,,
,,Ruiniform landscape,G,….,….,,,,,,,,,
Central Hight Atlas,Béni Mellal-Khénifra,Alluvial terraces of Aït Mallal,G,….,….,….,….,,,,,,,
,,Aït Mallal valley,G,,,,,,,,,,,
,,Badlands of Igoulouane,G,,,,,,,,,,,
,,Arouss valley,G,,,,,,,,,,,
,,Canyon of Rougoult valley,G,,,,,,,,,,,
,,Canyon of Abachkou valley,G,,,,,,,,,,,
,,Canyon of High-Tessaout valley,G,,,,,,,,,,,
,,Glacial cirques and U-shaped valleys of Rat mountain,G,,,,,,,,,,,
,,Scree and talus deposits of Rat mountain,G,,,,,,,,,,,
,,Scree and talus deposits of Tarkeddid mountain,G,,,,,,,,,,,
,,Fairy chimneys of Assamar,G,,,,,,,,,,,
,,Canyon of Ikiss,G,,,,,,,,,,,
,,Rat syncline,G,,,,,,,,,,,
,,Peak and cliffs of Tarkeddid mountain,G,,,,,,,,,,,
,,Mount M’goun (4068 m),G,,,,,,,,,,,
,,The unconformity between Paleozoic basement and Mesozoic sedimentary cover of Aït Mallal,G,,,,,,,,,,,
,,,G,,,,,,,,,,,
,,Rougoult waterfall,G,,,,,,,,,,,
,,Springs of Oued Lakhdar (green river),G,,,,,,,,,,,
,,Springs and waterfall of Ikiss,G,,,,,,,,,,,
,,Sinkholes of the Rat mountain,G,,,,,,,,,,,
Central Hight Atlas,Béni Mellal-Khénifra,Dinosaur footprints deposits of Iouaridene,PL,….,….,….,….,,,,,,,
,,Dinosaur footprints deposits of Ait Mimoun Ouffelah,PL,,,,,,,,,,,
,,Dinosaur footprints deposits of Ait Bouguemaz,PL,,,,,,,,,,,
,,Dinosaur footprints deposits of Ait Bla,PL,,,,,,,,,,,
Central Hight Atlas,Beni Mellal-Khenifra,Lower Devonian quartzite bars of Bou Trou-Al Aççama,"S,St&G",33°22.04′N,5°29.41′W,….,….,,,,,,,
,,Lower Devonian paleosol of Bou Trou-Al Aççama,S&St,33°21.56′ N,5°29.51′W,,,,,,,,,
,,Lower Devonian dwarf brachiopods of Bou Trou Al Aççama,PL,33°21.57′N,5°29.45′W,,,,,,,,,
,,Emsien crinoids grassland of Bab Al Ari,PL&S,33°27.63′N,5°11.19′W,,,,,,,,,
,,Givetian calciturbidites of Ben Aarab,"S,S&PL",33°30.08′N,5°24.09′W,,,,,,,,,
,,Givetian-Famennian paleolapiaz of Bab Al Ari,PL&S,33°27.63’N,5°11.19’W,,,,,,,,,
,,Frasnian-Famennian Kellwasser black limestones of Bou Ounabdou,"S,St&PL",33°08.57’N,5°31.08′W,,,,,,,,,
,,Famennian Griottes limestones of Bou Ounabdou,"S,St&PL",33°08.56’N,5°31.05′W,,,,,,,,,
,,Famennian Zebra griottes limestones of Ziyar,S&St,33°02.55′N,5°44.32′W,,,,,,,,,
The Great Moroccan Atlantic Basin (MAP),Marrakech-Safi,Arich OuzellaFm,S&PL,….,….,31°08′32″N, 09°42′28″W,,,,,,,
,,Amsittene Fm,S,,,,,,,,,,,
,,Id ou Moulid Fm,S&PL,,,,,,,,,,,
,,Arich Ouzella cave,G,,,,,,,,,,,
,,Subvertical strata,S,,,,,,,,,,,
,,Triassic-Quaternary contact,S,,,,,,,,,,,
,,Quaternary-Jurassic contact,S,,,,,,,,,,,
,,Fold hinge,S,,,,,,,,,,,
,,Cretaceous Quaternary contact,S,,,,,,,,,,,
,,Triple point,S,,,,,,,,,,,
,,Macrofossils,PL,,,,,,,,,,,
,,Fossiliferous dunes,PL,,,,,,,,,,,
,,Folded structure1,S,,,,,,,,,,,
,,Folded structure 2,S,,,,,,,,,,,
,,Folded structure 3,S,,,,,,,,,,,
,,Amsittene folded structures,S,,,,,,,,,,,
,,Alluvial cone,S,,,,,,,,,,,
Middle Atlas,Fès-Meknès,Ammonitico-rosso of Taffert,PL,….,….,….,….,,,,,,,
,,Volcano of Bou-Iblane,V,,,,,,,,,,,
,,Reefs of Ich Maalam,PL,,,,,,,,,,,
,,Cornish limestones of Serhla,S,,,,,,,,,,,
,,Hayane canyon,SG,,,,,,,,,,,
,,Askour Cave,K,,,,,,,,,,,
,,Tamezyidan Rbi,K,,,,,,,,,,,
,,Guelta Tameda,K,,,,,,,,,,,
,,Source Oued el Bared,S,,,,,,,,,,,
,,Oued el Bared cave,K,,,,,,,,,,,
,,Discordance Ribata lKhayr,SG,,,,,,,,,,,
,,Tizi Bou-Zaabel,SG,,,,,,,,,,,
,,Bou-Iblane-Issouka,SG,,,,,,,,,,,
,,Periclinal Taffajight,SG,,,,,,,,,,,
,,Malachites of Talzemt,M,,,,,,,,,,,
,,Discordance Jbel Abdous,SG,,,,,,,,,,,
,,Mallal cascade,H,,,,,,,,,,,
,,Jbel el Kalaa,SG,,,,,,,,,,,
,,Tmourhout valley,SG,,,,,,,,,,,
,,Bizi canyon,SG,,,,,,,,,,,
,,Fault Tmourhout,S,,,,,,,,,,,
,,Cascade Sahbab,H,,,,,,,,,,,
,,Tmourhout Cascade,H,,,,,,,,,,,
,,Synclinal Zloul,SG,,,,,,,,,,,
,,Ain Sebou,H,,,,,,,,,,,
,,Synclinal Tilmirat,SG,,,,,,,,,,,
,,Ammonitico-rosso of Zra,PL,,,,,,,,,,,
,,Aghram Amellal reefs,PL,,,,,,,,,,,
,,Jider canyon,SG,,,,,,,,,,,
Middle Atlas,Fès-Meknès,Chiker polje,K&S,34°07′07″N,4°02′26″W,….,….,,,,,,,
,,Chiker cave,K,34°07′18″N,4°02′18″W,,,,,,,,,
,,Dolines of Ademame,K,34°02′37″N,4°05′42″W,,,,,,,,,
,,Ras El Oued cave,K,33°57′33″N,4°00′00″W,,,,,,,,,
,,Chaâra lapiaz,K,33°58′25″N,4°13′29″W,,,,,,,,,
,,Chaâra cave,K,33°57′21″N,4°14′46″W,,,,,,,,,
,,GueltaTameda Lake,K,33°49′04″N,4°04′54″W,,,,,,,,,
,,Taffert canyons,K,33°43′17″N,4°13′39″W,,,,,,,,,
,,Aïn Sebou,K,33°44′13″N,4°31′58″W,,,,,,,,,
Anti-Atlas,Souss-Massa,Addan onion peels,G,29.213335N,8.203033W,….,….,,,,,,,
,,Akka badlands,G,29.483864N,8.295043W,,,,,,,,,
,,Tata hearts,G,29.483864N,8.295043W,,,,,,,,,
,,Imitek Karsts,G,29.603338N,8.251098W,,,,,,,,,
,,Issafenflat-irons,G,29.854611N,8.533996W,,,,,,,,,
,,Tadakoust Pyramids,G,29.270107N,8.678496W,,,,,,,,,
,,Issafen chevrons,G,29.850649N,8.512572W,,,,,,,,,
,,Ait Ouabelli chasms,G,29.213335N,8.203033W,,,,,,,,,
,,Tagmout mask,G,29.270107N,8.678496W,,,,,,,,,
,,Alougoum Pyramid,G,29.442398N,8.264208W,,,,,,,,,
,,Messalite cave,G,29.442398N,8.264208W,,,,,,,,,
,,Tamzrart Petrified waterfall,G,29.339495N,8.527880W,,,,,,,,,
,,Foum Zguid water gap,G,30.140782N,6.877585W,,,,,,,,,
,,Tissint water gap,G,29.916420N,7.374716W,,,,,,,,,
,,Sidi Rezzoug water gap,G,29.748743N,7.659674W,,,,,,,,,
,,Tata water gap,G,29.705037N,7.986517W,,,,,,,,,
,,Akka water gap,G,29.475754N,8.277655W,,,,,,,,,
,,Ait Ouabelli water gap,G,29.240173N,8.538580W,,,,,,,,,
,,Icht water gap,G,29.086675N,8.851690W,,,,,,,,,
,,Fam El Hisn water gap,G,29.060270N,8.925848W,,,,,,,,,
,,Tizgui Ida Ou Baloul water gap,G,29.741683N,8.502050W,,,,,,,,,
,,Ibn Yaakoub water gap,G,30.068945N,7.954123W,,,,,,,,,
,,Rokan water gap,G,29.983764N,7.950610W,,,,,,,,,
,,Targant water gap,G,29.912618N,7.684191W,,,,,,,,,
,,Alougoum water gap,G,30.089514N,6.910584W,,,,,,,,,
,,Desert mermaid,G,29.646508N,7.756531W,,,,,,,,,
,,Tata oyster,G,29.646508N,7.756531W,,,,,,,,,
,,Akka Phillyrea,G,29.646508N,7.756531W,,,,,,,,,
,,Draa double winged eye,G,29.028776N,8.591492W,,,,,,,,,
,,Tagragra of Tata inlier,G,29.899215N,7.941650W,,,,,,,,,
,,Agouliz inlier,G,29.751482N,8.161377W,,,,,,,,,
,,Aigou inlier,G,29.737174N,8.320678W,,,,,,,,,
,,Tanmrout inlier,G,29.737174N,8.320678W,,,,,,,,,
,,Tagragra of Akka inlier,G,29.460147N,8.677734W,,,,,,,,,
,,Alougoum gorge,G,30.308991N,6.837444W,,,,,,,,,
,,Tlit gorge,G,30.278531N,7.062836W,,,,,,,,,
,,Aguinane gorge,G,30.195719N,7.540216W,,,,,,,,,
,,Tagmout gorge,G,29.971009N,8.257101W,,,,,,,,,
,,Agouliz gorge,G,29.732906N,8.189294W,,,,,,,,,
,,Aygou gorge,G,29.734488N,8.261025W,,,,,,,,,
,,Targant gorge,G,29.481527N,8.375144W,,,,,,,,,
,,Tamzrart gorge,G,29.361629N,8.518739W,,,,,,,,,
,,Tadakoust gorge,G,29.254602N,8.694864W,,,,,,,,,
,,Ighir Ighnain gorge,G,29.227937N,8.924098W,,,,,,,,,
,,Tamanart canyon,G,29.167098N,8.958087W,,,,,,,,,
,,Foum Zguid mesa,G,29.888118N,6.827353W,,,,,,,,,
Anti-Atlas,Souss-Massa,Addana Onion Peels,G,29° 12′ 52′′ N,8° 13′ 59′′W,….,….,,,,,,,
,,Foum Zguid stream,H,30° 5′ 46′′ N,6° 53′ 15′′ W,,,,,,,,,
,,"Badlands of Akka (glaciofluvial,
  fluviomarine, & stream alluviums)",G,29° 28′ 14′′N,8°17′ 35′′ W,,,,,,,,,
,,,,,,,,,,,,,,
,,Hearts of Tata,G,29° 22′ 2′′ N,8° 19′ 19′′ W,,,,,,,,,
,,Karsts of Imitek,G,29° 36′ 57′′ N,8° 15′ 40′′ W,,,,,,,,,
,,ssafen’s Flatiron,G,29° 50′ 50′′ N,8° 31′ 1′′ W,,,,,,,,,
,,Pyramids of Tadakoust,G,29° 19′ 35′′ N,8° 31′ 52′′ W,,,,,,,,,
Anti-Atlas,Souss-Massa,Oued Tamzrart flooded,G&H,….,….,….,….,,,,,,,
,,The alluvial plain of Tadakoust,S,,,,,,,,,,,
,,The desiccation cracks in the Mghimima region,S,,,,,,,,,,,
,,Deflation phenomenon in the Drâa plain,G,,,,,,,,,,,
,,Isolation of rocks by erosion facilitated by joints,G,,,,,,,,,,,
,,The Devonian Rich,G,,,,,,,,,,,
,,Engravings in Tamzrart region,En,,,,,,,,,,,
,,Slab of rock carvings in the carbonate sandstones,G,,,,,,,,,,,
,,engravings in Tadakous,En,,,,,,,,,,,
,,Tour of Ait Ouabelli,G,,,,,,,,,,,
,,Agadir Ou Adkhes,C,,,,,,,,,,,
,,Tour of Ait Ouabelli,G,,,,,,,,,,,
Rif,Tanger-Tétouan-Al Hoceïma,Jbel Younech Ruiniform aspects,G,35.896051N,5.390169W,35°54’N ,5° 25’ W,,,,,,,
,,Abdessamad cave,G,35.896051N,5.390169W,,,,,,,,,
,,The massive dolomites of the Tizgarine unit,M,,,,,,,,,,,
,,Calipso cave,G,,,,,,,,,,,
,,the source and catchment basin of the water,H&G,,,,,,,,,,,
,,Mujer Muerta,G&SG,35.908787N,5.389026W,,,,,,,,,
,,Laila Island,"SG,Hi",35.916551N,5.406037W,,,,,,,,,
,,The Terraces of Ras Leona,SG,35.920680N,5.401799W,,,,,,,,,
,,"Ras Leona rocky coast and Karst (Lapiés, doline and cave)","G,S",De… à?,,,,,,,,,,
,,Jbel Chendir,S&SG,35.906329N,5.38799W,,,,,,,,,
,,Socio-cultural complex,C,"35°54’22’’,45N","5°23’17’’,11W",,,,,,,,,
,,The travertine terraces of Bel Younech,"S,PL&C",35.907023N,5.393334W,,,,,,,,,
,,Low coast of the SBEI of Jbel Moussa and islands,G&C,35.909169N,5.393398W,,,,,,,,,
,,Predorsal sandstone of Bel Younech,S&PT,…,…,,,,,,,,,
,,The cliff of Ras Leona,SG&G,…,…,,,,,,,,,
Sahara,Laayoune-Dakhla,Akhfénir Cliff,SG,28°09'N,12°04'W,….,….,,,,,,,
,,Naїla Lagoon,H,28°03'N,12°06'W,,,,,,,,,
,,Sand dunes,G,28°09'N,12°06'W,,,,,,,,,
,,Steady dunes,G,28°03'N,12°16'W,,,,,,,,,
,,Tinouchad daya,H,28°03'N,12°07'W,,,,,,,,,
,,Tazgha salt Flats,M,27°54'N,12°20'W,,,,,,,,,
,,Khaoui Naàm Wadi,H,27°40'N,12°13'W,,,,,,,,,
,,Echguiguen Site,Ar,27°98'N,12°16'W,,,,,,,,,
,,Akhfennir Sinkhole,Sp,28°10'N,12°03'W,,,,,,,,,
Sahara,Guelmim-Oued Noun,Amtoudi travertines,S,29°14.361 ’N,9°10.108 'W,….,….,,,,,,,
,,Amtoudi waterfall and Bougaa source,H,29°14.36’N,9 ° 10.108’W,,,,,,,,,
,,Amtoudi's stratigraphy,St,,,,,,,,,,,
,,Adrar ZerZem,Ar,28 ° 926N,9 ° 042W,,,,,,,,,
,,Abaynou station,H&G,29°093N,10°019W,,,,,,,,,
,,Pigeon cave,G,29 ° 300N,9 ° 695W,,,,,,,,,
,,Assaka Basin,H,29 ° 07'N,10 ° 25'W,,,,,,,,,
,,Asrir Oasis,C,29 ° 074N,9 ° 432W,,,,,,,,,
Sahara,Dakhla-Oued Ed-Dahab,Coastal cliff of the Dakhla peninsula,G,,,….,….,,,,,,,
,,Dakhla lagoon,H,,,,,,,,,,,
,,Sphinx Rock,G,,,,,,,,,,,
,,Portorico beach,G&H,,,,,,,,,,,
,,Lower Eocene Izik Formation with chert nodules,S&PL,,,,,,,,,,,
,,Dewatering fold,S&SG,,,,,,,,,,,
,,Neptunian dyke in the Izik deposits,SG,,,,,,,,,,,
,,Shark tooth,PL,,,,,,,,,,,
,,Miocene-Pliocene succession,St,,,,,,,,,,,
,,Neolithic engravings on Lower Cretaceous sandstones,S&Hi,,,,,,,,,,,
,,Metabasite,PT,,,,,,,,,,,
,,metagabbro of the Adrar Souttouf massif,PT,,,,,,,,,,,
,,Dliyat En’our hill offers panorama,G,,,,,,,,,,,
,,Ordovician quartzites-archean basement Uncon,SG,,,,,,,,,,,
,,Undeformed kalsilite & nepheline aegyrine-bearing with syenite vertical magmatic lineation,SG,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Foliated granites,SG,,,,,,,,,,,
,,Basic dyke swarm,SG,,,,,,,,,,,
,,Granite veins,SG,,,,,,,,,,,
,,Noticenthe isoclinal fold with shear bands,SG,,,,,,,,,,,
Rif,Tanger-Tétouan-Al Hoceïma,Water spring,H&G,,,,,,,,,,,
,,Panoramic view to the folded mountains,SG,,,,,,,,,,,
,,Petrified wood intruded by iron deposits,PL,,,,,,,,,,,
,,Stromatolites,PL,,,,,,,,,,,
,,Caristified cave stalactite,G,,,,,,,,,,,
,,Karastified limestone rocks eroded,SG,,,,,,,,,,,
,,Hill shades of limestone rocks,,,,,,,,,,,,
,,Karstification within the limestone strata,G,,,,,,,,,,,
Rif,Tanger-Tétouan-Al Hoceïma,Ali Thilat Dam,H,509000N,514480W,35°13′31″ N,5°08′26″ W,,,,,,,
,,Quarry of blocks,GM,508620N,515660W,,,,,,,,,
,,Rueda Nummilitic succession,SG,350673N,514050W,,,,,,,,,
,,Talâat Adrhosse Klippe,SG,516259N,519522W,,,,,,,,,
,,Oued Laou Gorge,G,514979N,519900W,,,,,,,,,
,,Ibouharen Fold,SG,516080N,521865W,,,,,,,,,
,,Tirinesse Basin,S,520261N,524360W,,,,,,,,,
,,Koudiat Achacha,SG,518931N,525190W,,,,,,,,,
,,"Dune,beachand cliffs of Kaâ Asrascoast",S,530456N,533994W,,,,,,,,,
