Excel_Row_Index,Geosite_Name,Geosite_Type,Geological_Domain,Administrative_Region,Latitude_WGS84,Longitude_WGS84,Coordinate_Extraction_Method,Elevation_m,Slope_deg,Ruggedness,Dist_to_Dam_m,Dist_to_River_m,LULC_Class,Soil_Class,Geology_Class,Dist_to_Highway_m,Dist_to_Piste_m
45,"Msemrir ""Red beds""",S,Central High Atlas,Draa-Tafilalet,31.72,-5.826666666666666,Numeric DMS,2159.265380859375,2.3482449054718018,629.6884155273438,22932.8984375,0.0,5.0,9.0,66.0,1673.6256103515625,1673.6256103515625
46,Ait Attou Oumoussa Jurassic strata ,S,Central High Atlas,Draa-Tafilalet,31.861666666666668,-5.708055555555556,Numeric DMS,,,,21050.412109375,0.0,10.0,9.0,71.0,1183.4320068359375,0.0
47,Imelouan Folds,SG,Central High Atlas,Draa-Tafilalet,32.155833333333334,-5.598333333333333,Numeric DMS,,,,16316.6865234375,0.0,10.0,7.0,71.0,0.0,1183.4320068359375
48,Redbeds,SG&S,Central High Atlas,Draa-Tafilalet,32.166,-5.523,Numeric DMS,,,,14667.2177734375,0.0,5.0,7.0,71.0,0.0,0.0
49,Intraformational unc,S,Central High Atlas,Draa-Tafilalet,32.193,-5.639,Numeric DMS,,,,14197.513671875,0.0,5.0,7.0,71.0,0.0,0.0
50,Isli Lake,H,Central High Atlas,Draa-Tafilalet,32.222,-5.55,Numeric DMS,,,,8517.0419921875,0.0,5.0,7.0,71.0,5917.16015625,0.0
51,Tisli Lake,H,Central High Atlas,Draa-Tafilalet,32.199,-5.629,Numeric DMS,,,,13483.7861328125,0.0,5.0,7.0,71.0,1183.4320068359375,0.0
52,Dolerite dykes and sills,PL,Central High Atlas,Draa-Tafilalet,32.153,-5.64,Numeric DMS,,,,13483.7861328125,0.0,5.0,7.0,71.0,1183.4320068359375,0.0
53,Fairy chimneys,G,Central High Atlas,Draa-Tafilalet,32.176,-5.599,Numeric DMS,,,,13949.822265625,0.0,5.0,7.0,71.0,1183.4320068359375,1183.4320068359375
54,Meandering Melloul river,G,Central High Atlas,Draa-Tafilalet,32.159,-5.603,Numeric DMS,,,,15854.318359375,0.0,5.0,7.0,71.0,0.0,0.0
